Ferroviário;BRA;49;Presidente Vargas;Nuno Pereira;PRT;FFFFFF;E61A23;20000
Sivaldo Júnior;G;BRA;N;25;E;S;Col;Imp;0
Victor Brasil;G;BRA;N;33;D;N;Ref;Con;0
Geo;L;BRA;N;22;D;N;Pas;Agi;0
Pedro Gomes;L;BRA;N;24;E;S;Mar;Vel;0
Reginaldo;L;BRA;N;24;E;N;Des;For;0
Thomas Luciano;L;BRA;N;24;D;N;Pos;Agi;0
Bruno Miranda;Z;BRA;N;27;D;N;Mar;Vel;0
Iago Reis;Z;BRA;N;26;E;S;Des;For;0
Pablo Maldini;Z;BRA;N;26;E;N;Ant;Con;0
Tiago Santana;Z;BRA;N;28;A;S;Pos;Imp;0
Fernando Portel;V;BRA;N;26;D;N;Mar;Con;0
Luan;V;BRA;N;21;D;N;Ant;Agi;0
Raphael Freitas;V;BRA;N;24;D;N;Pas;Vis;0
Victor Diotti;V;BRA;N;21;E;N;Des;For;0
Brayan;M;BRA;N;21;D;S;Pas;Agi;0
Caio Bahia;M;BRA;N;25;D;S;Pas;Vis;0
Lucas Black;M;BRA;N;26;A;S;Chu;Agi;0
Paulo Rodrigo;M;BRA;N;23;E;N;Pas;Vis;0
Thálisson;M;BRA;N;23;D;S;Dri;Agi;0
Carlinhos;P;BRA;N;28;A;S;Cru;Vel;0
Felipe Hulk;P;BRA;N;30;D;N;Pas;Res;0
Kiuan;P;BRA;N;22;D;N;Cru;Agi;0
Pablinho;P;BRA;N;22;D;N;Dri;Ace;0
Thiago Pulga;P;BRA;N;21;D;N;Pas;Vel;0
Yair Mena;P;COL;N;26;D;S;Dri;Ace;0
Camilo;A;BRA;N;28;D;N;Cab;Imp;0
Ciel;A;BRA;N;44;D;S;Fin;For;0
Iago Honorato;A;BRA;N;21;D;N;Dri;Vel;0
Jefinho;A;BRA;N;32;D;N;Pas;For;0
