Figueirense;BRA;60;Orlando Scarpelli;Raul Cabral;BRA;000000;FFFFFF;19500
Fabrício;G;BRA;N;40;D;S;Col;Imp;0
Júnior;G;BRA;N;22;D;N;Rbo;Con;0
Arthur Henrique;L;BRA;N;32;E;S;Cru;Vel;0
Ezequiel;L;BRA;N;33;D;N;Mar;Agi;0
Léo Maia;L;BRA;N;23;D;S;Cru;Res;0
Ryan Carlos;L;BRA;N;24;E;N;Pas;Agi;0
Vitor Ricardo;L;BRA;N;26;D;N;Cru;Ace;0
Anderson Conceição;Z;BRA;N;36;E;S;Ant;Con;0
Felipe Santiago;Z;BRA;N;23;D;S;Cab;For;0
Jhonnathan;Z;BRA;N;25;E;S;Pos;Vel;0
Leonan Santos;Z;BRA;N;25;E;N;Pos;For;0
Lucas Dias;Z;BRA;N;30;D;N;Cab;For;0
Breno;V;BRA;N;25;D;N;Des;For;0
Flávio;V;BRA;N;26;D;N;Pas;Agi;0
Jean Mangabeira;V;BRA;N;29;D;S;Des;For;0
Rafinha Potiguar;V;BRA;N;26;D;S;Mar;Res;0
Raynan;V;BRA;N;25;D;N;Pas;Res;0
Renan Areias;V;BRA;N;28;D;N;Pas;Vis;0
Choco;M;BRA;N;25;E;N;Dri;Agi;0
Dudu Sampaio;M;BRA;N;27;D;N;Pas;Agi;0
Jorginho;M;BRA;N;35;D;S;Arm;Vis;0
Arthur Martins;P;BRA;N;26;D;N;Cru;Vel;0
Guilherme Vieira;P;BRA;N;26;E;N;Fin;Ace;0
Igor Bolt;P;BRA;N;25;D;S;Dri;Vel;0
Pablo;P;BRA;N;33;D;N;Pas;Agi;0
Silvinho;P;BRA;N;36;D;N;Fin;Res;0
Zé Carlos;P;BRA;N;22;D;N;Dri;Ace;0
Hyuri;A;BRA;N;34;D;S;Fin;For;0
João Marcos;A;BRA;N;29;E;N;Pas;For;0
Maiky;A;BRA;N;21;D;N;Dri;For;0
