Floresta;BRA;59;Domingão;Leston Júnior;BRA;006A35;FFFFFF;10500
Dheimison;G;BRA;N;36;D;N;Col;Con;0
Jeferson Souza;G;BRA;N;32;E;N;Col;Imp;0
Tiepo;G;BRA;N;28;D;S;Ref;Fri;0
Caíque;L;BRA;N;28;E;N;Pos;Vel;0
Cedric;L;BRA;N;28;D;S;Pas;Agi;0
Diego Matos;L;BRA;N;29;E;S;Des;Agi;0
Eliandro Carvalho;L;BRA;N;27;D;S;Mar;Agi;0
Afonso;Z;BRA;N;32;D;N;Cab;Con;0
Eduardo;Z;BRA;N;23;D;S;Des;For;0
Islan;Z;BRA;N;29;D;N;Des;For;0
João Victor;Z;BRA;N;24;E;S;Cab;Imp;0
Marco Antônio;Z;BRA;N;25;D;S;Pos;Con;0
Valdo;Z;BRA;N;34;D;N;Ant;Con;0
Arilson;V;BRA;N;23;D;N;Mar;Con;0
Danrley;V;BRA;N;25;D;S;Des;Res;0
Jhony Douglas;V;BRA;N;29;D;N;Des;For;0
Nonato;V;BRA;N;30;D;S;Mar;Vis;0
Bismark;M;BRA;N;32;D;N;Arm;Cri;0
Buga;M;BRA;N;25;D;N;Pas;Res;0
Garraty;M;BRA;N;28;D;N;Fin;Fri;0
Guilherme Borges;M;BRA;N;26;D;S;Pas;Vis;0
Vitinho;M;BRA;N;23;D;N;Dri;Agi;0
Diogo Mourão;P;BRA;N;22;D;N;Dri;Vel;0
Matheus Martins;P;BRA;N;28;D;N;Dri;Vel;0
Matheusinho;P;BRA;N;27;E;N;Arm;Agi;0
Rafinha;P;BRA;N;34;D;S;Fin;Cri;0
Daniel Troiano;A;BRA;N;21;D;N;Fin;Fri;0
Jeam;A;BRA;N;31;D;N;Fin;Res;0
Thailor;A;BRA;N;26;D;N;Fin;For;0
