Goiás;BRA;70;Serrinha;Mozart;BRA;004718;FFFFFF;14500
Ezequiel Oliveira;G;BRA;N;23;E;N;Col;Fle;0
Tadeu;G;BRA;N;34;D;S;Ref;Fri;0
Thiago Rodrigues;G;BRA;N;37;D;N;Ref;Con;0
Danilo Cunha;L;BRA;N;19;E;N;Cru;Vel;0
Djalma Silva;L;BRA;N;31;E;N;Cru;For;0
Marcos Vinícius;L;BRA;N;29;D;N;Pas;Vel;0
Nicolas;L;BRA;N;29;E;S;Pas;Agi;0
Rodrigo Soares;L;BRA;N;33;D;S;Cru;Res;0
Lucas Ribeiro;Z;BRA;N;27;D;S;Pos;Con;0
Luisão;Z;BRA;N;22;D;S;Cab;Imp;0
Luiz Felipe;Z;BRA;N;32;D;N;Cab;For;0
Ramon Menezes;Z;BRA;N;31;D;N;Des;For;0
Baldória;V;BRA;N;21;D;N;Mar;For;0
Filipe Machado;V;BRA;N;30;D;S;Pas;Vis;0
Juninho;V;BRA;N;38;D;N;Pas;Res;0
Lucas Rodrigues;V;BRA;N;18;D;S;Pas;Con;0
Brayann;M;BRA;N;28;E;N;Arm;Cri;0
Bruno Sávio;M;BRA;N;31;D;N;Fin;Cri;0
Gegê;M;BRA;N;32;E;N;Chu;Vis;0
Jean Carlos;M;BRA;N;21;E;S;Dri;Agi;0
Lourenço;M;BRA;N;28;D;S;Chu;Res;0
Lucas Lima;M;BRA;N;36;E;S;Arm;Vis;0
Esli García;P;VEN;N;26;D;N;Dri;Agi;0
Halerrandrio;P;BRA;N;20;D;N;Dri;Ace;0
Kadu;P;BRA;N;24;D;N;Fin;Agi;0
Pedrinho;P;BRA;N;22;D;N;Pas;Res;0
Wellington Rato;P;BRA;N;34;E;N;Arm;Agi;0
Anselmo Ramon;A;BRA;N;38;D;S;Fin;For;0
Cadu;A;BRA;N;22;D;N;Fin;For;0
