Guaporé;BRA;48;Cassolão;Márcio Parreiras;BRA;E27002;005C25;4000
Arthur;G;BRA;N;28;E;S;Ref;Con;0
Lennon;G;BRA;N;30;D;N;Col;For;0
Alex;L;BRA;N;34;D;N;Cru;For;0
Caetano;L;BRA;N;33;E;S;Pos;Res;0
Marlon;L;BRA;N;40;E;S;Pas;Agi;0
Mateus Botelho;L;BRA;N;25;D;N;Des;Ace;0
Daniel Felipe;Z;BRA;N;33;D;S;Des;Imp;0
Matheus Rodrigues;Z;BRA;N;30;D;N;Cab;For;0
Nathan Sousa;Z;BRA;N;23;D;S;Mar;Vel;0
Caetano;V;BRA;N;29;D;S;Mar;Res;0
Edinho Guerreiro;V;BRA;N;30;D;N;Des;Agi;0
Edson;V;BRA;N;31;D;N;Pas;Con;0
Marquinhos Acreano;V;BRA;N;29;D;S;Ant;For;0
Matheus Oliveira;V;BRA;N;33;D;N;Ant;For;0
Anthony;M;BRA;N;28;D;N;Pas;Vis;0
Dieguinho;M;BRA;N;21;A;N;Dri;Agi;0
Diogo Amaral;M;BRA;N;24;E;N;Arm;Cri;0
Lucas Gomes;M;BRA;N;23;D;N;Chu;Res;0
Patrick Felipe;M;BRA;N;32;D;N;Pas;Fri;0
Robson;M;BRA;N;34;D;N;Fin;Vis;0
Andreo;P;BRA;N;28;D;S;Cru;Vel;0
Brayan Lucumí;P;COL;N;32;D;S;Dri;Ace;0
Igor Goularte;P;BRA;N;30;D;N;Arm;Res;0
Rafinha;P;BRA;N;24;E;N;Pas;Vel;0
Will;P;BRA;N;23;E;S;Fin;Agi;0
Antônio;A;BRA;N;24;D;N;Fin;For;0
Lucas Pessoa;A;BRA;N;22;D;N;Dri;Vel;0
Watthimen;A;BRA;N;36;D;S;Cab;Imp;0
