Imperatriz;BRA;47;Frei Epifânio;Emerson Cris;BRA;DC0015;FFFFFF;10000
Mateus Machado;G;BRA;N;29;D;N;Ref;Fle;0
Welligton;G;BRA;N;36;E;S;Col;Con;0
Ceará;L;BRA;N;38;D;N;Pas;For;0
David Lopes;L;BRA;N;24;E;N;Cru;Vel;0
Luis Guilherme;L;BRA;N;25;D;N;Des;Agi;0
Trucco;L;BRA;N;26;D;N;Mar;Agi;0
Vivico;L;BRA;N;29;D;N;Pos;For;0
Wilson;L;BRA;N;27;D;N;Cru;Ace;0
Artur Potiguar;Z;BRA;N;29;D;S;Des;For;0
Caio Sena;Z;BRA;N;29;E;N;Ant;For;0
Ronny Taperaçu;Z;BRA;N;30;D;S;Pos;Con;0
Doda;V;BRA;N;31;D;S;Pas;Vis;0
Felipe Macena;V;BRA;N;33;D;S;Des;For;0
Gleidson;V;BRA;N;36;D;N;Ant;Con;0
João Victor;V;BRA;N;29;D;S;Mar;Con;0
Victor Pereira;V;BRA;N;23;A;S;Ant;Agi;0
Dieguinho;M;BRA;N;22;D;N;Dri;Agi;0
Doda;M;BRA;N;39;D;S;Pas;Vis;0
Dodô;M;BRA;N;22;D;N;Pas;Agi;0
Fabrício Bigobel;M;BRA;N;27;D;N;Arm;Vis;0
Josué;M;BRA;N;27;D;N;Pas;Vis;0
Mateus Sabiá;M;BRA;N;26;D;N;Chu;Res;0
Anderson Brito;P;BRA;N;24;E;S;Dri;Vel;0
Fidel;P;BRA;N;33;D;S;Cru;Agi;0
Luizinho;P;BRA;N;25;D;N;Dri;Vel;0
Palominha;P;BRA;N;27;D;N;Fin;Ace;0
Wendel Bahia;P;BRA;N;31;D;N;Arm;Agi;0
Gustavo Índio;A;BRA;N;29;D;N;Cab;For;0
Ivan;A;BRA;N;23;D;S;Fin;Vel;0
Joel Araújo;A;BRA;N;29;D;N;Fin;Imp;0
