Inter de Limeira;BRA;60;Limeirão;Matheus Costa;BRA;000000;FFFFFF;18000
Jonathan;G;BRA;N;23;D;N;Ref;Fle;0
Saulo;G;BRA;N;40;D;S;Col;Con;0
Gabriel Dias;L;BRA;N;32;D;N;Mar;For;0
Heitor Roca;L;BRA;N;28;E;N;Pas;Vel;0
João Victor;L;BRA;N;24;E;S;Cru;Ace;0
Juan Tavares;L;BRA;N;24;E;N;Cru;Agi;0
Nassom;L;BRA;N;23;E;N;Des;For;0
Vidal;L;BRA;N;29;D;N;Cru;Res;0
Yan Silva;L;BRA;N;29;D;S;Des;Res;0
Frazan;Z;BRA;N;30;D;S;Cab;For;0
Lucas Santos;Z;BRA;N;33;D;S;Pos;Con;0
Léo Paraíso;Z;BRA;N;26;D;N;Des;Vel;0
Alef;V;BRA;N;31;D;N;Mar;For;0
Emerson Santos;V;BRA;N;34;D;N;Des;Con;0
Fabricio Dias;V;BRA;N;21;D;S;Des;Agi;0
Gustavo Bochecha;V;BRA;N;30;E;N;Pas;Agi;0
Lucas Buchecha;V;BRA;N;25;D;S;Pas;Vis;0
Ronaldo Henrique;V;BRA;N;32;E;N;Chu;Con;0
Claudinho;M;BRA;N;25;E;N;Dri;Agi;0
Luiz Guilherme;M;BRA;N;22;D;N;Pas;Res;0
Marco Antônio;M;BRA;N;28;D;N;Fin;Vis;0
Romarinho;M;BRA;N;32;D;S;Arm;Cri;0
Felipe Saraiva;P;BRA;N;27;D;N;Dri;Vel;0
Rafael Oller;P;BRA;N;31;E;N;Cru;Agi;0
Richard;P;BRA;N;24;D;N;Arm;Vel;0
Robinho;P;BRA;N;27;D;N;Dri;Agi;0
Vitor Leque;P;BRA;N;25;D;S;Dri;Ace;0
Getulio;A;BRA;N;29;D;S;Cab;For;0
Miguel Bianconi;A;BRA;N;34;D;S;Fin;For;0
Zé Eduardo;A;BRA;N;27;D;N;Pas;Res;0
