Internacional;BRA;83;Beira-Rio;Paulo Pezzolano;URY;E60107;FFFFFF;50000
Anthoni;G;BRA;N;24;D;N;Col;Con;0
Diego Esser;G;BRA;N;21;E;N;Ref;Fri;0
Kauan;G;BRA;N;23;D;N;Ref;Fle;0
Matheus Cunha;G;BRA;N;25;D;N;Sgo;For;0
Sergio Rochet;G;URY;N;33;D;S;Sgo;Imp;0
Alexandro Bernabei;L;ARG;N;25;E;S;Mar;Agi;2
Braian Aguirre;L;ARG;N;26;D;N;Des;For;0
Bruno Gomes;L;BRA;N;25;D;S;Cru;Agi;0
Matheus Bahia;L;BRA;N;27;E;N;Cru;Agi;0
Félix Torres;Z;ECU;N;29;D;S;Ant;Con;0
Gabriel Mercado;Z;ARG;N;39;D;S;Ant;Vel;0
Guillermo Maripán;Z;CHL;N;32;D;N;Cab;Con;3
Juninho;Z;BRA;N;31;E;N;Des;Imp;0
Victor Gabriel;Z;BRA;N;22;E;S;Ant;Imp;0
Benjamin;V;GHA;N;20;D;N;Pas;Agi;0
Richard;V;BRA;N;32;D;N;Ant;Con;0
Rodrigo Villagra;V;ARG;N;25;D;S;Pas;Con;0
Ronaldo;V;BRA;N;29;D;N;Des;For;0
Thiago Maia;V;BRA;N;29;E;N;Ant;Agi;0
Alan Patrick;M;BRA;S;35;D;S;Arm;Vis;5
Allex;M;BRA;N;20;E;N;Arm;Vis;0
Bruno Henrique;M;BRA;N;36;D;S;Chu;Agi;0
Calebe;M;BRA;N;26;E;N;Dri;Agi;0
Paulinho Paula;M;BRA;N;29;D;N;Pas;Agi;0
Yago Noal;M;BRA;N;19;D;N;Pas;Res;0
Johan Carbonero;P;COL;N;27;D;S;Dri;Cri;0
Kayky;P;BRA;N;23;E;N;Pas;Vel;0
Vitinho;P;BRA;N;27;D;S;Dri;Vel;0
Alerrandro;A;BRA;N;26;D;N;Fin;Vel;0
Raykkonen;A;BRA;N;18;D;N;Dri;Vel;0
