Ivinhema;BRA;45;Saraivão;Douglas Ricardo;BRA;15357A;F5F5F5;2500
Breno Alemão;G;BRA;N;21;D;N;Col;Fle;0
Neto Bonini;G;BRA;N;31;D;S;Ref;Con;0
Paulo Mazoti;G;BRA;N;26;D;N;Ref;Fle;0
Adson;L;BRA;N;28;D;S;Mar;For;0
Harinson;L;BRA;N;25;E;S;Cru;Agi;0
João Guilherme;L;BRA;N;21;E;S;Des;Vel;0
Júnior Prego;L;BRA;N;31;E;N;Pos;Agi;0
Luan;L;BRA;N;26;D;S;Pas;For;0
Ramires;L;BRA;N;24;D;N;Des;For;0
Bugarin;Z;BRA;N;26;D;S;Des;For;0
Matheus Fernando;Z;BRA;N;24;E;N;Mar;Vel;0
Mina;Z;BRA;N;23;D;N;Ant;For;0
Wellerson Uberaba;Z;BRA;N;30;D;S;Cab;Imp;0
Yago;Z;BRA;N;32;D;N;Pos;Res;0
Diogo Fogliato;V;BRA;N;34;D;S;Pas;Vis;0
Guilherme Malheiro;V;BRA;N;22;D;N;Des;Agi;0
Guilherme Pitbull;V;BRA;N;33;D;N;Mar;For;0
Luan;V;BRA;N;24;D;S;Des;Agi;0
Ninho;V;BRA;N;26;D;S;Mar;Res;0
Alisson;M;BRA;N;35;D;S;Arm;Cri;0
Esdras;M;BRA;N;22;E;N;Pas;Agi;0
Júlio;M;BRA;N;36;D;N;Arm;Vis;0
Jonatas Santos;P;BRA;N;27;D;N;Dri;Vel;0
Robinho;P;BRA;N;26;D;N;Pas;Agi;0
Americano;A;BRA;N;23;A;N;Fin;Imp;0
Jonas;A;BRA;N;23;D;N;Dri;Vel;0
Pedro Guedes;A;BRA;N;27;D;N;Fin;For;0
Rodolfo;A;BRA;N;28;D;N;Pas;Vel;0
