Londrina;BRA;68;Estádio do Café;Rogério Micale;BRA;0099DA;FFFFFF;30000
Mauricio Kozlinski;G;BRA;N;35;D;S;Ref;Imp;0
Zanella;G;BRA;N;22;D;N;Sgo;Con;0
André Dhominique;L;BRA;N;22;D;N;Des;Vel;0
Artur;L;BRA;N;31;E;N;Des;Agi;0
Kauê Leonardo;L;BRA;N;21;D;N;Pos;Agi;0
Kevyn;L;BRA;N;28;E;S;Pas;Vel;0
Nino Paraíba;L;BRA;N;40;D;N;Cru;Res;0
Rafael Monteiro;L;BRA;N;22;E;N;Pas;Agi;0
Weverton;L;BRA;N;27;D;N;Cru;Vel;0
Caio;Z;BRA;N;21;D;N;Pos;Vel;0
Gabriel Lacerda;Z;BRA;N;26;D;S;Mar;Imp;0
Heron;Z;BRA;N;25;E;S;Pos;Vel;0
Wallace;Z;BRA;N;38;D;S;Ant;For;0
Yago Lincoln;Z;BRA;N;23;D;S;Mar;Con;0
André Cardoso;V;BRA;N;23;D;N;Des;Agi;0
Chumbinho;V;BRA;N;22;D;N;Ant;Res;0
Fabiano;V;BRA;N;21;D;N;Mar;Agi;0
João Tavares;V;BRA;N;22;D;S;Mar;For;0
Murilo Sousa;V;BRA;N;21;A;N;Pas;Agi;0
Tarik;V;BRA;N;33;D;N;Des;Con;0
Caio Rafael;M;BRA;N;22;D;N;Arm;Agi;0
João Vitor;M;BRA;N;28;D;N;Pas;Agi;0
Lucas Marques;M;BRA;N;31;A;S;Pas;Res;0
Thalis;M;BRA;N;30;D;S;Arm;Vis;0
Pablo Dyego;P;BRA;N;32;D;N;Fin;Res;0
Paulinho Moccelin;P;BRA;N;32;D;S;Dri;Res;0
Vitinho Mota;P;BRA;N;23;E;S;Dri;Ace;0
Vitor Jacaré;P;BRA;N;26;D;N;Fin;Vel;0
Gilberto;A;BRA;N;37;D;N;Fin;For;0
William Pottker;A;BRA;N;32;E;N;Fin;For;0
