Luverdense;BRA;48;Passo das Emas;Wagner Lopes;JPN;FFFFFF;297430;10000
Cauã França;G;BRA;N;24;E;N;Ref;Fle;0
João Guilherme;G;BRA;N;34;D;S;Col;Con;0
Ikaro;L;BRA;N;21;E;N;Pas;Agi;0
Isac Miller;L;BRA;N;22;D;N;Pos;Vel;0
Kevin;L;BRA;N;25;E;N;Des;For;0
Raul Prata;L;BRA;N;39;D;S;Pas;Ace;0
Feliphe Gabriel;Z;BRA;N;29;E;S;Ant;Con;0
Gustavo Silva;Z;BRA;N;28;D;S;Des;For;0
Gutierrez;Z;BRA;N;29;D;N;Cab;For;0
Thiago Gabriel;Z;BRA;N;25;E;S;Pos;Vel;0
Bryan;V;BRA;N;25;D;N;Ant;Con;0
Danilo Borges;V;BRA;N;25;D;S;Mar;Con;0
Douglas Silva;V;BRA;N;24;D;S;Des;Agi;0
Lucas Góes;V;BRA;N;26;D;S;Pas;For;0
Luiz Fernando;V;BRA;N;25;D;N;Mar;For;0
Bady;M;BRA;N;37;D;S;Arm;Vis;0
Cauã Lucca;M;BRA;N;22;D;N;Pas;Agi;0
Hassen;M;BRA;N;23;D;N;Pas;Vis;0
Lucas Martins;M;BRA;N;21;D;N;Pas;Vis;0
Marco Antônio;M;BRA;N;23;E;N;Chu;Res;0
Wendel Barros;M;BRA;N;25;D;N;Pas;Agi;0
Emerson Mineiro;P;BRA;N;30;D;N;Fin;Agi;0
Hitalo;P;BRA;N;24;D;S;Cru;Ace;0
Gean Júnior;A;BRA;N;21;D;N;Pas;Vel;0
Lucas Vieira;A;BRA;N;33;D;N;Cab;For;0
Pedro Bortoluzo;A;BRA;N;30;D;S;Fin;For;0
