Maracanã;BRA;47;Almir Dutra;Júnior Cearense;BRA;4CA9DF;112349;18000
Douglas Dias;G;BRA;N;38;D;S;Col;Con;0
Redson;G;BRA;N;31;E;N;Ref;Fle;0
Vinnicius;G;BRA;N;23;D;N;Sgo;Con;0
Biel Potiguar;L;BRA;N;29;D;N;Mar;For;0
Digão;L;BRA;N;29;E;S;Cru;Res;0
Edvaine;L;BRA;N;26;E;N;Des;Vel;0
Elivelton;L;BRA;N;27;E;N;Pos;Ace;0
Guilha;L;BRA;N;23;D;N;Pas;Res;0
Vinicius Oliveira;L;BRA;N;25;D;S;Pas;Agi;0
Francisco Flávio;Z;BRA;N;18;D;N;Cab;Imp;0
Geilson Souza;Z;BRA;N;22;D;S;Mar;For;0
Guilherme;Z;BRA;N;27;A;S;Ant;Vel;0
Pedro da Dalto;Z;BRA;N;23;D;S;Des;Res;0
Jeferson Prill;V;BRA;N;34;A;S;Ant;For;0
Lincoln;V;BRA;N;33;D;S;Des;Res;0
Wilker;V;BRA;N;27;D;N;Mar;Agi;0
Esquerdinha;M;BRA;N;26;E;N;Dri;Agi;0
Patuta;M;BRA;N;32;D;S;Pas;Vis;0
Robert;M;BRA;N;24;D;S;Arm;Res;0
Alison Araçoiaba;P;BRA;N;28;D;N;Arm;Cri;0
Capote;P;BRA;N;23;D;N;Cru;Vel;0
João Gabriel;P;BRA;N;22;D;N;Fin;Agi;0
Júnior César;P;BRA;N;29;D;N;Dri;Ace;0
Luan Lucas;P;BRA;N;21;D;N;Pas;Cri;0
Luís Soares;P;BRA;N;35;D;S;Dri;Agi;0
Marlon;A;BRA;N;21;D;N;Dri;Vel;0
Mateusão;A;BRA;N;33;D;N;Cab;For;0
Shider;A;BRA;N;25;D;N;Fin;For;0
