Maranhão;BRA;59;Castelão;Jerson Testoni;BRA;FF0000;00467A;40000
Cauê;G;BRA;N;22;D;N;Col;Con;0
Jean;G;BRA;N;34;D;S;Ref;Fri;0
Victor Guilherme;G;BRA;N;26;D;N;Col;Imp;0
André Radija;L;BRA;N;31;E;N;Mar;Agi;0
Bal;L;BRA;N;28;D;N;Des;For;0
Lucas Santos;L;BRA;N;28;E;S;Cru;Res;0
Maurício Maranhão;L;BRA;N;27;D;N;Pas;For;0
Rodrigo Negueba;L;BRA;N;27;D;N;Cru;Vel;0
Edson;Z;BRA;N;25;D;N;Des;For;0
Keven;Z;BRA;N;30;E;S;Pos;Con;0
Lucão;Z;BRA;N;25;D;S;Des;For;0
Luís Felipe;Z;BRA;N;19;D;N;Ant;Con;0
Tibúrcio;Z;BRA;N;26;D;N;Mar;For;0
Caio Victor;V;BRA;N;21;D;N;Mar;Con;0
Pedro Henrique;V;BRA;N;21;D;N;Ant;Con;0
Pedro Lucas;V;BRA;N;19;D;N;Des;Agi;0
Railson;V;BRA;N;26;D;S;Mar;Res;0
Rodrigo;V;BRA;N;32;D;N;Mar;For;0
Rosivan;V;BRA;N;26;D;S;Des;Res;0
Vander;V;BRA;N;27;D;S;Pas;Con;0
Jorge Rocha;M;BRA;N;28;A;N;Arm;Vis;0
Luis Gustavo;M;BRA;N;25;D;N;Arm;Res;0
Vagalume;M;BRA;N;27;D;S;Fin;Fri;0
Felipe Sales;P;BRA;N;25;D;N;Pas;Cri;0
Pimentinha;P;BRA;N;38;E;S;Dri;Agi;0
Will;P;BRA;N;27;D;S;Fin;Vel;0
Felipe Cruz;A;BRA;N;26;D;N;Dri;Vel;0
Joelson;A;BRA;N;27;D;S;Fin;For;0
Rafael Teixeira;A;BRA;N;25;D;N;Fin;Res;0
