Maringá;BRA;60;Willie Davids;Ivan Campanari;BRA;000000;09AA62;16000
Gabriel Affonso;G;BRA;N;27;E;N;Ref;Imp;0
Neto;G;BRA;N;31;D;S;Ref;Con;0
Romário;G;BRA;N;25;D;N;Col;Fle;0
Gabriel Souza;L;BRA;N;23;D;S;Mar;Vel;0
Thiago Rosa;L;BRA;N;24;E;S;Cru;Agi;0
Felipe;Z;BRA;N;22;E;N;Ant;Imp;0
Gabriel Santos;Z;BRA;N;25;D;N;Mar;For;0
Jesiel;Z;BRA;N;32;D;N;Pos;Vel;0
Jonathan;Z;BRA;N;23;D;S;Des;For;0
Keven;Z;BRA;N;23;A;N;Des;Vel;0
Ronald Carvalho;Z;BRA;N;26;D;N;Pos;Con;0
Wallace;Z;BRA;N;21;D;N;Mar;Imp;0
Wendel Lomar;Z;BRA;N;30;E;N;Pos;For;0
Kelvi Gomes;V;BRA;N;23;D;N;Mar;Agi;0
Lucas Bonifácio;V;BRA;N;25;D;S;Des;For;0
Paulinho;V;BRA;N;28;E;S;Pas;Con;0
Adeílson Maranhão;M;BRA;N;28;D;N;Pas;Agi;0
Bruno Cheron;M;BRA;N;22;D;N;Dri;Vis;0
Danielzinho;M;BRA;N;24;D;N;Arm;Agi;0
Iago Santana;M;BRA;N;26;D;N;Chu;Agi;0
Serginho;M;BRA;N;35;D;N;Arm;Vis;0
Edison Negueba;P;BRA;N;25;D;S;Dri;Ace;0
Guilherme Pira;P;BRA;N;26;D;S;Cru;Vel;0
Pedrinho;P;BRA;N;23;D;N;Cru;Ace;0
Rafinha;P;BRA;N;26;D;N;Dri;Ace;0
Ronald Camarão;P;BRA;N;26;E;S;Pas;Agi;0
Caíque Calito;A;BRA;N;26;D;S;Fin;Imp;0
Giovane Gomez;A;BRA;N;31;D;S;Cab;For;0
Raí;A;BRA;N;21;D;N;Dri;Vel;0
Rian Patric;A;BRA;N;20;D;N;Pas;For;0
