Mirassol;BRA;83;Maião;Rafael Guanaes;BRA;F6EA10;016C2D;15000
Alex Muralha;G;BRA;N;36;D;N;Col;For;0
Thomazella;G;BRA;N;35;D;N;Ref;Fri;0
Walter;G;BRA;N;38;D;S;Ref;Con;0
Daniel Borges;L;BRA;N;33;D;N;Cru;Res;0
Elias;L;BRA;N;27;D;N;Cru;Agi;0
Igor Formiga;L;BRA;N;27;D;S;Cru;For;0
Reinaldo;L;BRA;N;36;E;S;Pas;Agi;0
Victor Luís;L;BRA;N;33;E;N;Pos;Res;0
Gabriel;Z;BRA;N;22;D;N;Cab;For;0
João Victor;Z;BRA;N;28;D;S;Ant;For;0
Lucas Oliveira;Z;BRA;N;30;D;N;Ant;Imp;0
Willian Machado;Z;BRA;N;29;E;S;Cab;Imp;0
Gustavo Cazonatti;V;BRA;N;30;A;N;Pas;Res;0
José Aldo;V;BRA;N;28;A;S;Pas;Agi;0
Neto Moura;V;BRA;N;30;D;S;Pas;Con;0
Wallisson;V;BRA;N;28;D;N;Ant;Agi;0
Chico Kim;M;BRA;N;35;D;N;Pas;Agi;0
Denilson;M;BRA;N;25;D;S;Dri;Cri;0
Eduardo;M;BRA;N;36;D;S;Pas;Res;0
Japa;M;BRA;N;22;E;N;Pas;Agi;0
Shaylon;M;BRA;N;29;E;S;Pas;Vis;0
Alesson;P;BRA;N;27;D;S;Dri;Vel;0
Carlos Eduardo;P;BRA;N;29;D;N;Dri;Agi;0
Fernandinho;P;BRA;N;29;D;N;Fin;Vel;0
Gustavo Silva;P;BRA;N;28;D;N;Dri;Ace;0
Luiz Filipe;P;BRA;N;25;D;N;Fin;Agi;0
Negueba;P;BRA;N;26;D;N;Dri;Vel;0
André Luis;A;BRA;N;32;D;N;Cab;Fri;0
Bruno Santos;A;BRA;N;29;D;N;Fin;Fri;0
Edson Carioca;A;BRA;N;29;D;N;Fin;For;0
