Nacional-AM;BRA;50;Arena da Amazônia;Thiago Gomes;BRA;023093;F6C301;44000
Caio Alan;G;BRA;N;29;D;S;Ref;Con;0
Igor Rayan;G;BRA;N;33;D;N;Ref;Con;0
Caio Callyman;L;BRA;N;27;D;N;Des;Vel;0
João Barbieri;L;BRA;N;24;D;N;Pas;Agi;0
Mateus Müller;L;BRA;N;30;E;N;Cru;Agi;0
Miliano;L;BRA;N;31;E;S;Cru;Vel;0
Ryan;L;BRA;N;23;D;S;Mar;Ace;0
Wendel;L;BRA;N;28;E;S;Pos;For;0
Anderson Alagoano;Z;BRA;N;34;D;S;Pos;Con;0
Fredson;Z;BRA;N;34;D;N;Ant;For;0
Gabriel Recife;Z;BRA;N;28;D;N;Des;Imp;0
Michel Custódio;Z;BRA;N;25;D;S;Des;For;0
Thiago Lopes;Z;BRA;N;24;D;S;Mar;Con;0
Adenilson;V;BRA;N;32;D;N;Pas;Vis;0
Erick Varão;V;BRA;N;30;D;S;Pas;For;0
Icaro Alves;V;BRA;N;29;D;N;Mar;For;0
Mardley;V;BRA;N;31;D;N;Des;Con;0
PH Guimarães;V;BRA;N;35;D;N;Ant;Vis;0
Rodrigo;V;BRA;N;24;D;S;Des;Agi;0
Kaio Wilker;M;BRA;N;33;D;N;Arm;Vis;0
Andrés Andrade;P;COL;N;37;D;N;Arm;Cri;0
Cocote;P;BRA;N;22;D;N;Dri;Ace;0
Kevin Mercado;P;ECU;N;31;E;N;Cru;Vel;0
Rafa Marcos;P;BRA;N;27;D;S;Cru;Vel;0
Renanzinho;P;BRA;N;25;D;S;Dri;Agi;0
Caio Mancha;A;BRA;N;33;D;N;Cab;Imp;0
Max Nóbrega;A;BRA;N;26;D;N;Fin;Vel;0
Ryan Luka;A;BRA;N;23;D;N;Dri;Vel;0
Sassá;A;BRA;N;32;D;N;Fin;For;0
Vitinho;A;BRA;N;23;D;N;Pas;Vel;0
