Náutico;BRA;70;Aflitos;Hélio dos Anjos;BRA;D10000;FFFFFF;22500
Gastón Guruceaga;G;URY;N;31;E;N;Ref;Fle;0
Léo;G;BRA;N;22;D;N;Col;Con;0
Muriel;G;BRA;N;39;E;S;Ref;Con;0
Arnaldo;L;BRA;N;34;D;N;Cru;Res;0
Igor Fernandes;L;BRA;N;34;E;S;Des;Agi;0
Luiz Felipe;L;BRA;N;28;D;S;Pas;For;0
Luiz Paulo;L;BRA;N;33;E;N;Pos;For;0
Léo Jance;L;BRA;N;21;E;N;Cru;Agi;0
Matheus Ribeiro;L;BRA;N;33;D;N;Pas;Agi;0
Reginaldo;L;BRA;N;33;D;S;Cru;Vel;0
Alemão;Z;BRA;N;35;D;N;Cab;For;0
Betão;Z;BRA;N;27;E;N;Des;For;0
Gustavo Henrique;Z;BRA;N;20;E;N;Cab;Imp;0
Mateus Silva;Z;BRA;N;31;D;S;Pos;Con;0
Wanderson;Z;BRA;N;31;D;S;Mar;For;0
Índio;Z;BRA;N;22;A;N;Ant;Vel;0
Auremir;V;BRA;N;34;D;N;Mar;For;0
Léo Oliveira;V;BRA;N;30;D;N;Des;For;0
Samuel;V;BRA;N;22;D;S;Ant;For;0
Wenderson;V;BRA;N;28;D;S;Pas;Agi;0
Felipe Redaelli;M;BRA;N;23;E;N;Pas;Agi;0
Jean Carlos;M;BRA;N;34;E;N;Arm;Vis;0
Benjamín Borasi;P;ARG;N;28;D;N;Dri;Cri;0
Victor Andrade;P;BRA;N;30;D;N;Dri;Ace;0
Vinícius;P;BRA;N;32;D;S;Fin;Cri;0
Derek;A;BRA;N;28;E;N;Pas;For;0
Júnior Todinho;A;BRA;N;32;E;S;Fin;Vel;0
Kauã Maranhão;A;BRA;N;22;D;N;Fin;Vel;0
Paulo Sérgio;A;BRA;N;37;D;S;Fin;Fri;0
