Novorizontino;BRA;74;Jorge Ismael de Biasi;Enderson Moreira;BRA;FAED1F;000000;12000
César;G;BRA;N;31;D;N;Col;Imp;0
Jordi;G;BRA;N;32;D;S;Ref;Con;0
Madson;L;BRA;N;34;D;N;Cru;Res;0
Maykon Jesus;L;BRA;N;20;E;S;Mar;Agi;0
Nilson Castrillón;L;COL;N;30;D;N;Des;For;0
Sander;L;BRA;N;35;E;N;Cru;For;0
Alexis Alvariño;Z;ARG;N;25;D;S;Des;Vel;0
Carlinhos;Z;BRA;N;31;A;N;Pos;Con;0
Eduardo Brock;Z;BRA;N;35;E;N;Ant;Con;0
Gabriel Bahia;Z;BRA;N;27;D;N;Mar;For;0
Kauan Alemão;Z;BRA;N;19;D;N;Pos;Imp;0
Patrick;Z;BRA;N;27;E;S;Cab;For;0
Renato Palm;Z;BRA;N;34;A;N;Cab;Imp;0
Luiz Gabriel;V;BRA;N;21;D;N;Mar;Agi;0
Luís Oyama;V;BRA;N;29;D;S;Pas;Vis;0
Léo Naldi;V;BRA;N;24;D;S;Des;For;0
Christian Ortíz;M;ARG;N;33;D;N;Chu;Vis;0
Diego Galo;M;BRA;N;21;D;N;Pas;Agi;0
Juninho;M;BRA;N;25;D;N;Pas;Vis;0
Matheus Bianqui;M;BRA;N;28;D;S;Fin;Agi;0
Rômulo;M;BRA;N;24;D;S;Arm;Cri;0
Tavinho;M;BRA;N;21;A;S;Dri;Agi;0
Hector Bianchi;P;BRA;N;21;E;N;Dri;Ace;0
Hélio Borges;P;BRA;N;26;D;N;Dri;Vel;0
Robson;P;BRA;N;35;D;S;Fin;Agi;0
Ronald Barcellos;P;BRA;N;24;E;N;Dri;Ace;0
Vinícius Paiva;P;BRA;N;25;D;S;Dri;Vel;0
Carlão;A;BRA;N;34;D;N;Cab;For;0
Jardiel;A;BRA;N;21;D;N;Fin;Vel;0
Nicolas Careca;A;BRA;N;29;D;N;Fin;Imp;0
