Operário-PR;BRA;70;Germano Krüger;Luizinho Lopes;BRA;FFFFFF;000000;10500
Diego Monteiro;G;BRA;N;26;D;N;Ref;Fle;0
Elias Curzel;G;BRA;N;31;E;N;Ref;Fle;0
Talles;G;BRA;N;29;D;N;Rbo;Fle;0
Vagner;G;BRA;N;40;D;S;Ref;Fri;0
Gabriel Feliciano;L;BRA;N;25;E;N;Cru;Ace;0
João Gabriel;L;BRA;N;20;D;N;Pas;Vel;0
Maguinho;L;BRA;N;34;D;N;Cru;For;0
Mikael Doka;L;BRA;N;26;D;S;Cru;Vel;0
Moraes;L;BRA;N;28;E;S;Cru;Agi;0
Bernardo Rodrigues;Z;BRA;N;21;D;N;Pos;Con;0
Joseph;Z;BRA;N;31;D;N;Pos;Con;0
José Cuenú;Z;COL;N;31;D;S;Mar;For;0
Miranda;Z;BRA;N;26;D;S;Pos;For;0
Renan Gustavo;Z;BRA;N;21;D;N;Des;For;0
William Klaus;Z;BRA;N;32;D;N;Cab;Res;0
Charles Raphael;V;BRA;N;31;D;N;Des;For;0
Matheus Trindade;V;BRA;N;30;D;S;Des;Res;0
Índio;V;BRA;N;33;E;N;Ant;For;0
Gabriel Boschilia;M;BRA;N;30;E;S;Fin;Vis;0
Juan Zuluaga;M;COL;N;33;D;N;Pas;Vis;0
Neto Paraíba;M;BRA;N;34;D;N;Chu;Cri;0
Pedro Vilhena;M;BRA;N;24;D;N;Dri;Agi;0
Vinícius Diniz;M;BRA;N;27;D;S;Pas;Agi;0
Berto;P;CPV;N;30;D;S;Dri;Vel;0
Maxwell;P;BRA;N;31;D;N;Pas;Agi;0
Ángel Torres;P;COL;N;26;E;N;Fin;Cri;0
Aylon;A;BRA;N;34;D;S;Pas;For;0
Caio Dantas;A;BRA;N;33;D;N;Fin;For;0
Pablo;A;BRA;N;34;D;S;Fin;Res;0
Vinicius Mingotti;A;BRA;N;26;D;N;Fin;For;0
