Paysandu;BRA;60;Curuzu;Júnior Rocha;BRA;0076CA;FFFFFF;16000
Gabriel Mesquita;G;BRA;N;27;D;S;Ref;Fri;0
Marcão;G;BRA;N;23;D;N;Ref;Fle;0
Cauã Dias;L;BRA;N;20;D;N;Pos;Agi;0
Edílson;L;BRA;N;31;D;S;Mar;Res;0
Facundo Bonifazi;L;URY;N;30;E;S;Cru;For;0
Luciano Taboca;L;BRA;N;32;E;N;Cru;Res;0
Matheus Capixaba;L;BRA;N;20;D;N;Des;Agi;0
Bruno Bispo;Z;BRA;N;30;E;N;Cab;For;0
Castro;Z;BRA;N;31;D;S;Mar;For;0
Iarley;Z;BRA;N;21;A;S;Des;Con;0
Pedro Carrerete;Z;BRA;N;27;D;N;Cab;Con;0
Brian Macapá;V;BRA;N;18;D;N;Des;Agi;0
Caio Mello;V;BRA;N;26;D;S;Chu;Vis;0
Henrico;V;BRA;N;21;D;S;Mar;Con;0
Libonati;V;BRA;N;21;D;N;Ant;For;0
Pedro Gonçalves;V;BRA;N;18;D;S;Des;Res;0
Tiago Índio;V;BRA;N;24;A;N;Des;Res;0
Henrique Salomoni;M;BRA;N;21;D;N;Pas;Agi;0
Lucas Cardoso;M;BRA;N;25;D;N;Fin;Agi;0
Marcinho;M;BRA;N;30;D;S;Fin;Cri;0
Matheus Vargas;M;BRA;N;30;D;N;Pas;Vis;0
Kauã Hinkel;P;BRA;N;19;D;N;Pas;Cri;0
Klayvert;P;BRA;N;20;D;N;Dri;Agi;0
Kleiton Pego;P;BRA;N;27;D;S;Fin;Res;0
Peu;P;BRA;N;23;D;N;Dri;Vel;0
Thalyson;P;BRA;N;20;E;N;Dri;Agi;0
Thayllon;P;BRA;N;24;E;N;Fin;Vel;0
Angelo;A;BRA;N;20;D;N;Dri;Vel;0
Juninho;A;BRA;N;22;D;N;Fin;Fri;0
Ítalo Carvalho;A;BRA;N;29;E;S;Fin;For;0
