Piauí;BRA;47;Albertão;Jonydei Matos;BRA;D21F2D;163773;44000
Alan Alves;G;BRA;N;30;D;S;Col;For;0
Pedro Paulo;G;BRA;N;28;D;N;Ref;Fle;0
Dudu;L;BRA;N;23;D;N;Mar;Agi;0
Matheus Marques;L;BRA;N;24;E;N;Pas;Vel;0
Tenório;L;BRA;N;25;E;N;Des;For;0
Williams Bahia;L;BRA;N;26;D;S;Cru;Ace;0
Eduardo Thuram;Z;BRA;N;28;E;S;Cab;Imp;0
Gomes;Z;BRA;N;27;D;S;Mar;Con;0
Igor Rangel;Z;BRA;N;20;E;N;Ant;Vel;0
Leandro Amorim;Z;BRA;N;36;D;S;Pos;For;0
Adsson;V;BRA;N;26;D;S;Des;Con;0
Marcelinho;V;BRA;N;27;D;S;Pas;Vis;0
Rayanderson;V;BRA;N;29;D;S;Ant;For;0
Breno Alan;M;BRA;N;22;A;N;Dri;Cri;0
Wallace;M;BRA;N;25;D;S;Arm;Agi;0
Fechale Tchagnao;P;TGO;N;22;E;N;Cru;Ace;0
Gabriel Henrique;P;BRA;N;30;D;S;Dri;Vel;0
Islan;P;BRA;N;22;D;N;Pas;Agi;0
Gustagol;A;BRA;N;25;D;S;Fin;For;0
