Porto Velho;BRA;47;Aluizão;Rodrigo Fonseca;BRA;FFFFFF;122367;7000
Digão;G;BRA;N;28;D;S;Ref;Fle;0
Filipe;G;BRA;N;29;D;N;Col;Con;0
Serjão;G;BRA;N;31;D;N;Sgo;Con;0
Douglas;L;BRA;N;34;E;S;Pos;For;0
Lucas Bala;L;BRA;N;28;D;S;Pos;Res;0
Rikelmy;L;BRA;N;24;D;N;Cru;Ace;0
Rodrigo Ramos;L;BRA;N;31;D;N;Mar;Agi;0
Aisley;Z;BRA;N;23;D;S;Des;Con;0
Athyla;Z;BRA;N;29;D;N;Mar;Con;0
Maurício Leal;Z;BRA;N;39;D;S;Pos;For;0
Rennã;Z;BRA;N;30;E;S;Cab;Imp;0
Willian Barbosa;Z;BRA;N;23;E;N;Pos;Con;0
Bruno Menezes;V;BRA;N;30;A;N;Pas;Con;0
César Júlio;V;BRA;N;25;D;S;Pas;Con;0
Eduardo Processo;V;BRA;N;24;D;N;Des;Con;0
Gabriel Davis;V;BRA;N;36;D;S;Pas;Vis;0
Emerson Bacas;M;BRA;N;32;D;S;Chu;Fri;0
Rafael;M;BRA;N;32;D;N;Arm;Res;0
Álvaro;M;BRA;N;24;E;N;Arm;Agi;0
Edrean;P;BRA;N;30;D;N;Dri;Vel;0
Esquerdinha;P;BRA;N;35;E;N;Pas;Cri;0
Kadu Barone;P;BRA;N;31;D;N;Fin;Agi;0
Wellington Nunes;P;BRA;N;27;D;N;Pas;Vel;0
Luan Viana;A;BRA;N;30;D;S;Fin;Fri;0
Pablo Henrique;A;BRA;N;26;E;N;Dri;Vel;0
Tcharlles;A;BRA;N;34;D;S;Dri;Vel;0
