Remo;BRA;81;Mangueirão;Léo Condé;BRA;060C19;F7F2F2;53500
Ivan;G;BRA;N;29;D;N;Col;Con;0
Marcelo Rangel;G;BRA;N;38;D;S;Ref;Fle;0
João Lucas;L;BRA;N;28;D;N;Des;Vel;0
Marcelinho;L;BRA;N;28;D;S;Pas;Vel;0
Marlon;L;BRA;N;32;E;S;Pas;For;0
Matheus Alexandre;L;BRA;N;27;D;N;Pos;Vel;0
Mayk;L;BRA;N;26;E;S;Des;Vel;0
Cristian Tassano;Z;URY;N;30;D;N;Des;Vel;0
Léo Andrade;Z;BRA;N;28;E;N;Ant;Vel;0
Marllon;Z;BRA;N;34;D;S;Des;Imp;0
Matheus Felipe;Z;BRA;N;27;D;N;Des;Con;0
Tchamba;Z;CMR;N;28;E;N;Ant;Imp;0
Zé Ivaldo;Z;BRA;N;29;D;N;Ant;For;0
Edson Fernando;V;BRA;N;28;D;N;Mar;Res;0
Leonel Picco;V;ARG;N;27;D;N;Des;Agi;0
Patrick;V;BRA;N;34;E;S;Des;Agi;0
Zé Ricardo;V;BRA;N;27;D;S;Chu;Agi;0
Zé Welison;V;BRA;N;31;D;S;Ant;Agi;0
David Braga;M;BRA;N;24;E;N;Pas;Vis;0
Franco Catarozzi;M;URY;N;26;E;N;Pas;Agi;0
Vitor Bueno;M;BRA;N;31;D;N;Arm;Vis;2
Alef Manga;P;BRA;N;31;D;S;Fin;Vel;0
Antonio Galeano;P;PRY;N;26;D;N;Dri;Vel;0
Jajá;P;BRA;N;27;D;S;Fin;Vel;0
Jáderson;P;BRA;N;26;E;N;Pas;Agi;0
Tico;P;BRA;N;19;E;N;Dri;Agi;0
Yago Pikachu;P;BRA;N;34;D;S;Cru;Agi;0
Eduardo Melo;A;BRA;N;25;D;N;Dri;Vel;0
Gabriel Poveda;A;BRA;N;28;D;N;Fin;Res;0
Gabriel Taliari;A;BRA;N;29;D;N;Chu;Vel;0
