Santa Cruz;BRA;60;Arruda;Cristian de Souza;BRA;DE0000;000000;60000
Rokenedy;G;BRA;N;23;D;S;Ref;Fle;0
Thiago Henrique;G;BRA;N;23;E;N;Ref;Con;0
Alex Ruan;L;BRA;N;33;E;S;Cru;Res;0
Matheus Castilho;L;BRA;N;21;A;N;Pas;Agi;0
Rodrigues;L;BRA;N;26;E;N;Cru;Agi;0
Thiago Ennes;L;BRA;N;30;D;N;Cru;Agi;0
Zé Mário;L;BRA;N;34;E;N;Cru;Vel;0
Edson Miranda;Z;BRA;N;27;D;N;Des;Con;0
Eurico;Z;BRA;N;32;D;S;Des;Con;0
Jeferson Bahia;Z;BRA;N;34;E;N;Cab;For;0
Matheus Vinícius;Z;BRA;N;27;E;S;Cab;Imp;0
Ruan Robert;Z;BRA;N;23;D;N;Mar;For;0
William Alves;Z;BRA;N;39;D;S;Cab;Con;0
Andrey;V;BRA;N;28;D;N;Chu;Agi;0
Fabinho;V;BRA;N;39;D;S;Mar;Con;0
Léo Costa;V;BRA;N;30;D;N;Des;For;0
Pedro Favela;V;BRA;N;27;D;S;Mar;For;0
Silva;V;BRA;N;30;D;N;Pas;Con;0
Nilton;M;BRA;N;23;D;N;Dri;Agi;0
Patrick Allan;M;BRA;N;31;E;S;Arm;Vis;0
Régis;M;BRA;N;33;E;N;Arm;Cri;0
Everaldo;P;BRA;N;32;D;N;Dri;Vel;0
Renato;P;BRA;N;36;D;N;Fin;Agi;0
Robinho;P;BRA;N;31;D;N;Dri;Agi;0
Ronald;P;BRA;N;29;A;N;Dri;Agi;0
Vitinho;P;BRA;N;22;D;S;Dri;Ace;0
Ariel Nahuelpán;A;ARG;N;38;E;S;Cab;For;0
Eron;A;BRA;N;27;D;N;Fin;Vel;0
Quirino;A;BRA;N;32;D;S;Fin;For;0
Tiago Marques;A;BRA;N;38;A;N;Fin;Fri;0
