Santos;BRA;84;Vila Belmiro;Cuca;BRA;FFFFFF;000000;17500
Diógenes;G;BRA;N;25;D;N;Col;Imp;0
Gabriel Brazão;G;BRA;N;25;D;S;Ref;Fle;0
João Paulo;G;BRA;N;31;D;N;Ref;Con;0
Gonzalo Escobar;L;ARG;N;29;E;S;Des;Res;0
Igor Vinícius;L;BRA;N;29;D;S;Cru;Agi;0
Vinicius Lira;L;BRA;N;18;E;N;Cru;Res;0
Alexis Duarte;Z;PRY;N;26;D;N;Des;Con;0
João Alencar;Z;BRA;N;19;D;N;Pos;Vel;0
João Ananias;Z;BRA;N;19;E;N;Mar;Res;0
Luan Peres;Z;BRA;N;32;E;S;Mar;Con;4
Lucas Veríssimo;Z;BRA;N;31;D;S;Cab;Imp;0
Christian Oliva;V;URY;N;30;D;S;Des;Agi;0
Gustavinho;V;BRA;N;21;D;N;Des;Agi;0
João Schmidt;V;BRA;N;33;E;N;Ant;Agi;0
Willian Arão;V;BRA;N;34;D;S;Ant;Vis;0
Arthur Melo;M;BRA;N;29;D;N;Pas;Vis;0
Gabriel Bontempo;M;BRA;N;21;D;S;Pas;Agi;0
Gabriel Menino;M;BRA;N;25;D;N;Pas;Vis;0
Miguelito;M;BOL;N;22;E;N;Pas;Agi;0
Neymar;M;BRA;S;34;D;S;Arm;Vis;7
Pepê Fermino;M;BRA;N;19;D;N;Fin;Vis;0
Thaciano;M;BRA;N;31;D;N;Pas;Agi;0
Enzo Boer;P;BRA;N;21;E;N;Dri;Vel;0
Gustavo Caballero;P;PRY;N;24;D;N;Fin;Vel;0
Mateus Xavier;P;BRA;N;19;E;N;Dri;Agi;0
Moisés;P;BRA;N;29;D;N;Cru;Res;0
Rollheiser;P;ARG;N;26;E;S;Cru;Agi;0
Álvaro Barreal;P;ARG;N;25;E;S;Pas;Vel;0
Gabriel Barbosa;A;BRA;N;29;E;S;Fin;Fri;6
Rony;A;BRA;N;31;D;N;Pas;For;0
