São Luiz;BRA;45;19 de Outubro;Paulo Henrique Marques;BRA;F60809;FFFFFF;6000
Gabriel Oliveira;G;BRA;N;31;D;S;Ref;Con;0
Renan;G;BRA;N;21;D;N;Col;Fle;0
Daniel Bolt;L;BRA;N;20;D;N;Pos;Agi;0
Izaldo;L;BRA;N;33;E;N;Des;For;0
Lucas Hian;L;BRA;N;25;D;S;Mar;Agi;0
Márcio Duarte;L;BRA;N;35;E;S;Pas;For;0
Arlan;Z;BRA;N;30;D;S;Pos;Con;0
Caetano;Z;BRA;N;20;D;N;Ant;Vel;0
Marcão;Z;BRA;N;29;D;N;Des;For;0
Ricardo Thalheimer;Z;BRA;N;33;D;N;Cab;Imp;0
Diego;V;BRA;N;21;D;N;Mar;Agi;0
Jean Henrique;V;BRA;N;33;D;N;Pas;Vis;0
Lucas Hulk;V;BRA;N;33;D;S;Des;For;0
Vitório Poletto;V;BRA;N;22;D;N;Ant;Con;0
Mauri;M;BRA;N;33;E;S;Pas;Vis;0
Nathan Zamith;M;BRA;N;20;A;S;Dri;Agi;0
João Gonçalez;P;BRA;N;21;E;N;Cru;Ace;0
Thiago André;P;BRA;N;30;D;S;Pas;Res;0
Válber Júnior;P;BRA;N;23;D;S;Dri;Ace;0
Brandão;A;BRA;N;30;D;S;Cab;Imp;0
Rogério Sena;A;BRA;N;25;D;S;Fin;Vel;0
