São Paulo;BRA;83;MorumBIS;Dorival Júnior;BRA;FE0000;FFFFFF;66500
Carlos Coronel;G;PRY;N;29;D;N;Ref;Con;0
Rafael;G;BRA;N;37;E;S;Ref;Con;0
Cédric Soares;L;PRT;N;34;D;N;Mar;Vel;0
Enzo Díaz;L;ARG;N;30;E;S;Des;Vel;0
Iago;L;BRA;N;29;E;N;Pos;Vel;0
Lucas Ramon;L;BRA;N;32;D;S;Pos;Ace;0
Maik;L;BRA;N;21;D;N;Pas;Agi;0
Nicolas;L;BRA;N;19;E;N;Pas;Agi;0
Wendell;L;BRA;N;33;E;S;Pas;Vel;0
Domingos Duarte;Z;PRT;N;31;D;N;Pos;Con;0
Luis Osorio;Z;BRA;N;19;E;N;Cab;Con;0
Rafael Tolói;Z;ITA;N;35;D;N;Ant;Vel;4
Robert Arboleda;Z;ECU;N;34;D;N;Des;Con;0
Sabino;Z;BRA;N;29;E;S;Des;For;0
Damián Bobadilla;V;PRY;N;25;D;S;Des;Vis;0
Danielzinho;V;BRA;N;31;D;S;Pas;Con;0
Luan;V;BRA;N;27;D;N;Mar;Agi;0
Pablo Maia;V;BRA;N;24;D;N;Pas;For;0
Cauly;M;BRA;N;30;A;N;Pas;Vis;0
Djhordney;M;BRA;N;19;D;N;Pas;Res;0
Lucas Moura;M;BRA;S;34;D;N;Pas;Vis;5
Marcos Antônio;M;BRA;N;26;D;S;Pas;Vis;0
Pedro Ferreira;M;BRA;N;19;D;N;Arm;Agi;0
Artur;P;BRA;N;28;E;S;Pas;Agi;0
Ferreirinha;P;BRA;N;28;D;N;Dri;Cri;0
Lucca;P;BRA;N;19;D;N;Arm;Cri;0
Victor Sá;P;BRA;N;32;A;N;Dri;Vel;0
André Silva;A;BRA;N;29;E;N;Cab;Imp;0
Jonathan Calleri;A;ARG;N;32;D;S;Cab;Imp;6
Luciano;A;BRA;N;33;E;S;Pas;Res;0
