Uberlândia;BRA;49;Parque do Sabiá;Danilo;BRA;FFFFFF;2E7C48;53000
Guilherme Nogueira;G;BRA;N;26;D;N;Col;For;0
Jefferson Luis;G;BRA;N;32;A;S;Ref;Con;0
Ben-Hur;L;BRA;N;30;D;S;Pos;For;0
Fernandinho;L;BRA;N;22;D;N;Des;Vel;0
Luis Felipe;L;BRA;N;23;E;S;Cru;Ace;0
Nathan;L;BRA;N;28;E;S;Pas;Agi;0
Samuel Alves;L;BRA;N;22;D;N;Mar;Agi;0
Gabriel Ferreira;Z;BRA;N;29;E;N;Ant;Vel;0
Marcelo Augusto;Z;BRA;N;33;D;S;Pos;Con;0
Max Miller;Z;BRA;N;28;D;S;Des;Imp;0
Rayan Ribeiro;Z;BRA;N;30;D;N;Cab;For;0
Rayne;Z;BRA;N;29;E;N;Pos;For;0
Renan;Z;BRA;N;25;D;N;Des;Vel;0
Diego Fumaça;V;BRA;N;31;D;S;Des;Res;0
Evanderson;V;BRA;N;27;A;S;Mar;Con;0
Longatto;V;BRA;N;21;D;N;Pas;Vis;0
Rafinha;V;BRA;N;29;D;N;Ant;Vis;0
Jhonatan Lima;M;BRA;N;21;E;N;Pas;Agi;0
João Victor Balão;M;BRA;N;23;D;N;Dri;Cri;0
Netinho;M;BRA;N;20;E;N;Arm;Vis;0
Rafael Conceição;M;BRA;N;22;D;N;Fin;Agi;0
Tomas Bastos;M;BRA;N;34;E;S;Chu;Vis;0
Gustavo Ermel;P;BRA;N;31;E;N;Cru;Vel;0
Julio Rodrigues;P;BRA;N;25;D;N;Pas;Agi;0
Léo Reis;P;BRA;N;25;D;S;Dri;Ace;0
Marcos Calazans;P;BRA;N;30;E;S;Dri;Ace;0
Brayan Díaz;A;COL;N;21;D;N;Dri;Vel;0
Da Silva;A;BRA;N;27;A;N;Cab;For;0
Jacó;A;BRA;N;30;D;N;Fin;Imp;0
Kayke;A;BRA;N;38;D;N;Fin;Fri;0
