Vasco;BRA;82;São Januário;Pedro Emanuel;PRT;000000;FFFFFF;20000
Daniel Fuzato;G;BRA;N;29;D;N;Ref;Fle;0
Léo Jardim;G;BRA;N;31;D;S;Col;Fle;1
Pablo;G;BRA;N;23;D;N;Ref;Fle;0
Cuiabano;L;BRA;N;23;E;N;Des;Vel;0
JV Fonseca;L;BRA;N;21;D;N;Cru;Agi;0
Lucas Piton;L;ITA;N;25;E;S;Cru;Vel;0
Paulinho;L;BRA;N;22;E;N;Cru;Ace;4
Paulo Henrique;L;BRA;N;30;D;S;Pas;Agi;0
Pumita Rodríguez;L;URY;N;29;D;S;Cru;Vel;0
Alan Saldivia;Z;URY;N;24;D;N;Ant;Vel;0
Carlos Cuesta;Z;COL;N;27;D;S;Des;Imp;0
Lucas Freitas;Z;BRA;N;25;E;N;Ant;For;0
Robert Renan;Z;BRA;N;22;E;S;Ant;Vel;0
Santiago Sosa;Z;ARG;N;27;D;N;Cab;Con;0
Walace Falcão;Z;BRA;N;21;E;N;Cab;Con;0
Cauan Barros;V;BRA;N;22;D;S;Mar;Agi;0
Jair;V;BRA;N;32;D;N;Pas;Res;0
Mateus Carvalho;V;BRA;N;24;E;N;Pas;For;0
Thiago Mendes;V;BRA;N;34;D;S;Chu;Vis;0
Johan Rojas;M;COL;N;23;D;N;Dri;Vis;0
Tchê Tchê;M;BRA;N;34;A;S;Pas;Res;0
Adson;P;BRA;N;25;E;N;Pas;Agi;0
Andrés Gómez;P;COL;N;23;D;S;Cru;Agi;5
David;P;BRA;N;30;D;N;Pas;Cri;0
Marino Hinestroza;P;COL;N;24;D;N;Dri;Agi;0
Nuno Moreira;P;PRT;N;27;D;S;Pas;Cri;0
Brenner;A;BRA;N;26;D;N;Fin;Vel;0
Bruno Duarte;A;BRA;N;30;D;N;Fin;For;0
Claudio Spinelli;A;ARG;N;29;D;N;Cab;For;0
Facundo Colidio;A;ARG;N;26;D;N;Fin;Fri;0
