Vila Nova;BRA;71;OBA;Guto Ferreira;BRA;FF0000;FFFFFF;11500
Dalberson;G;BRA;N;29;E;N;Ref;Fri;0
Gabriel Átila;G;BRA;N;23;D;N;Col;Fle;0
Helton Leite;G;BRA;N;35;D;S;Ref;Con;0
Hayner;L;BRA;N;30;D;N;Des;Vel;0
Higor;L;BRA;N;21;E;S;Pos;Vel;0
Igor Cariús;L;BRA;N;33;E;N;Pos;Vel;0
Willian Formiga;L;BRA;N;31;E;S;Pos;For;0
Anderson;Z;BRA;N;31;D;N;Des;For;0
Breno Bora;Z;BRA;N;24;D;N;Des;For;0
Douglas Mendes;Z;BRA;N;22;D;N;Des;For;0
Tiago Pagnussat;Z;BRA;N;36;D;S;Cab;Imp;0
Dudu;V;BRA;N;24;D;N;Mar;Agi;0
Enzo;V;BRA;N;23;D;N;Pas;For;0
Higor Meritão;V;BRA;N;32;E;N;Des;Agi;0
João Vieira;V;BRA;N;28;D;S;Pas;Con;0
Nathan Camargo;V;BRA;N;21;D;N;Mar;Agi;0
Willian Maranhão;V;BRA;N;30;E;S;Des;For;0
Bruno Xavier;M;BRA;N;29;E;N;Dri;Agi;0
Gustavo Cabral;M;BRA;N;24;E;N;Pas;Vis;0
Marquinhos Gabriel;M;BRA;N;36;E;S;Arm;Vis;0
André Luis;P;BRA;N;29;E;S;Fin;Ace;0
Dodô;P;BRA;N;31;D;N;Arm;Cri;0
Emerson Urso;P;BRA;N;25;D;N;Dri;Cri;0
Everton Galdino;P;BRA;N;29;E;N;Fin;Agi;0
Janderson;P;BRA;N;27;D;S;Arm;Vel;0
Ryan;P;BRA;N;25;E;S;Fin;Cri;0
Caíque;A;BRA;N;26;D;N;Pas;Vel;0
Dellatorre;A;BRA;N;34;D;S;Fin;Fri;0
Gustavo Puskas;A;BRA;N;18;D;N;Fin;Res;0
Rafa Silva;A;BRA;N;34;D;N;Fin;For;0
