Vitória;BRA;83;Barradão;Jair Ventura;BRA;CC1010;080808;30500
Gabriel;G;BRA;N;33;D;N;Sgo;Imp;0
Lucas Arcanjo;G;BRA;N;28;D;S;Col;Fle;0
Fabiano;L;BRA;N;26;D;N;Mar;Agi;0
Jamerson;L;BRA;N;27;E;N;Cru;Agi;0
Luan Cândido;L;BRA;N;25;E;S;Des;For;0
Mateusinho;L;BRA;N;27;D;N;Pos;Vel;0
Nathan Mendes;L;BRA;N;23;D;N;Mar;Vel;0
Ramon;L;BRA;N;25;E;S;Mar;Vel;0
Cacá;Z;BRA;N;27;D;S;Mar;Con;0
Camutanga;Z;BRA;N;32;D;N;Cab;Imp;0
Edu Ribeiro;Z;BRA;N;26;D;N;Des;Vel;0
Emanuel Brítez;Z;ARG;N;34;D;N;Des;Imp;0
Riccieli;Z;BRA;N;27;D;N;Cab;Imp;0
Baralhas;V;BRA;N;27;D;S;Ant;Con;0
Caíque Gonçalves;V;BRA;N;30;D;S;Des;Vis;0
Dudu;V;BRA;N;27;E;N;Pas;Res;0
Emmanuel Martínez;M;ARG;N;32;D;S;Pas;Res;0
Matheuzinho;M;BRA;N;28;E;S;Chu;Vis;0
Tomás Pochettino;M;ARG;N;30;D;N;Arm;Vis;0
Zé Vitor;M;BRA;N;26;D;N;Fin;Vis;0
Anderson Pato;P;BRA;N;23;D;N;Dri;Agi;0
Diego Tarzia;P;ARG;N;23;E;N;Dri;Cri;0
Erick;P;BRA;N;28;E;S;Arm;Cri;5
Lucas Silva;P;BRA;N;26;D;N;Pas;Res;0
Marinho;P;BRA;N;36;E;N;Fin;Ace;0
Osvaldo;P;BRA;N;39;D;N;Fin;Vel;0
Renê;P;BRA;N;22;D;S;Fin;Vel;0
Alex Bruno;A;BRA;N;27;E;S;Fin;For;0
Fabri;A;BRA;N;25;D;N;Pas;Res;0
Renato Kayzer;A;BRA;N;30;D;N;Fin;Vel;0
