Volta Redonda;BRA;59;Raulino de Oliveira;Mário Jorge;BRA;FFEE00;000000;18000
Avelino;G;BRA;N;27;D;S;Ref;Fle;0
Heitor Silva;G;BRA;N;26;D;N;Sgo;Con;0
Fabricio Aguiar;L;BRA;N;26;D;N;Des;Vel;0
Jean Victor;L;BRA;N;32;E;N;Cru;Vel;0
Juninho Monteiro;L;BRA;N;26;E;S;Cru;Res;0
Pedro Costa;L;BRA;N;32;D;N;Cru;Res;0
Wellington Silva;L;BRA;N;38;D;S;Pas;Agi;0
Fabrício;Z;BRA;N;36;E;N;Pos;Con;0
Lucas Adell;Z;BRA;N;26;E;S;Des;For;0
Lucas Rocha;Z;BRA;N;31;D;N;Mar;For;0
Rafael Castro;Z;BRA;N;30;D;S;Cab;Imp;0
Du Fernandes;V;BRA;N;25;D;N;Des;For;0
Henrique Silva;V;BRA;N;31;D;N;Mar;For;0
Juliano Fabro;V;BRA;N;27;A;N;Pas;Vis;0
Victor Feitosa;V;BRA;N;30;D;N;Ant;Con;0
Wagninho;V;BRA;N;26;D;S;Ant;Con;0
Dener;M;BRA;N;34;D;S;Pas;Vis;0
Luciano Naninho;M;BRA;N;34;D;N;Arm;Cri;0
Matheus Moresche;M;BRA;N;28;D;N;Dri;Agi;0
Andrey Dias;P;BRA;N;24;D;N;Dri;Agi;0
Fellipinho;P;BRA;N;22;E;N;Dri;Ace;0
Marquinhos;P;BRA;N;28;D;S;Cru;Vel;0
MV;P;BRA;N;28;D;S;Dri;Ace;0
Romarinho;P;BRA;N;30;D;N;Arm;Agi;0
Ygor Catatau;P;BRA;N;31;D;S;Fin;Vel;0
Zuniga;P;COL;N;20;A;N;Dri;Vel;0
Heliardo;A;BRA;N;34;D;N;Cab;For;0
Oswaldo Blanco;A;COL;N;36;D;N;Fin;For;0
Rafael Furtado;A;BRA;N;26;D;N;Fin;Imp;0
Wendel;A;BRA;N;23;D;N;Dri;Vel;0
