XV de Piracicaba;BRA;46;Barão da Serra Negra;Fernando Marchiori;BRA;000000;FFFFFF;18000
André Luiz;G;BRA;N;31;D;S;Ref;Fri;0
Filipe Costa;G;BRA;N;30;D;N;Col;Con;0
Arlen;L;BRA;N;30;D;N;Mar;Agi;0
Dija;L;BRA;N;23;D;N;Pos;Vel;0
Gustavo Kuhn;L;BRA;N;23;E;N;Pas;Agi;0
João Victor;L;BRA;N;27;E;S;Pas;Vel;0
Júnior Caiçara;L;BRA;N;37;D;S;Pas;For;0
Rennan Siqueira;L;BRA;N;31;E;S;Pos;For;0
Thales Oleques;L;BRA;N;32;D;S;Des;Vel;0
Almir Luan;Z;BRA;N;24;D;S;Cab;For;0
Andrés Robles;Z;CHL;N;32;D;N;Mar;Con;0
Kawan;Z;BRA;N;23;D;N;Mar;For;0
Lucas Ramires;Z;BRA;N;24;D;N;Pos;Con;0
Luiz Gustavo;Z;BRA;N;21;E;N;Ant;Vel;0
Carlos Manuel;V;BRA;N;25;D;N;Mar;For;0
Djavan;M;BRA;N;30;D;N;Pas;Res;0
Dudu Vieira;M;BRA;N;32;D;N;Pas;Vis;0
Gabriel Chagas;M;BRA;N;25;D;N;Arm;Agi;0
Gustavo Hebling;M;BRA;N;30;D;S;Pas;Vis;0
Mossoró;M;BRA;N;30;D;N;Arm;Vis;0
Richard Almeyda;M;AZE;N;37;E;N;Pas;Vis;0
Serginho;M;BRA;N;22;E;S;Pas;Agi;0
David Ribeiro;P;BRA;N;28;D;S;Dri;Agi;0
Erik Bessa;P;BRA;N;30;E;N;Cru;Vel;0
Léo Santos;P;BRA;N;30;D;N;Pas;Agi;0
Robson Duarte;P;BRA;N;33;E;N;Dri;Ace;0
Rone Carlos;P;BRA;N;30;A;N;Fin;Vel;0
Antônio Gabriel;A;BRA;N;24;D;N;Fin;Vel;0
Henry;A;BRA;N;27;D;S;Fin;For;0
Paulo Marcelo;A;BRA;N;31;D;S;Cab;For;0
