América de Cali;COL;83;Olímpico Pascual Guerrero;David González;COL;FFFFFF;E61B23;42000
Jean;G;BRA;N;30;E;S;Ref;Con;0
Juan Montoya;G;COL;N;27;D;N;Sgo;For;0
Brayan Correa;L;COL;N;22;D;N;Pas;Ace;0
Marcos Mina;L;COL;N;27;E;N;Mar;Vel;0
Mateo Castillo;L;COL;S;23;D;N;Des;Agi;0
Omar Bertel;L;COL;N;29;E;S;Pas;For;0
Yhormar Hurtado;L;COL;N;29;D;S;Cru;Res;0
Brayan Córdoba;Z;COL;N;26;D;N;Cab;For;0
Cristian Tovar;Z;COL;N;28;D;N;Pos;Imp;0
Dany Rosero;Z;COL;N;32;D;S;Cab;Vel;0
Marlon Torres;Z;COL;N;30;D;S;Mar;For;0
Nicolás Hernández;Z;COL;N;28;E;N;Pos;Imp;0
Josen Escobar;V;COL;N;21;D;N;Mar;Agi;0
Yani Quintero;V;COL;N;24;D;S;Chu;Vis;0
José Cavadia;M;COL;N;20;D;N;Pas;Cri;0
Rafael Carrascal;M;COL;N;33;D;S;Dri;Vis;0
Yeison Guzmán;M;COL;S;28;D;N;Fin;Res;0
Edson Tortolero;P;VEN;N;28;D;N;Cru;Ace;0
Jan Lucumi;P;COL;N;22;D;N;Pas;Vel;0
Jhon Murillo;P;VEN;N;30;D;S;Fin;Agi;0
Jhon Palacios;P;COL;N;21;D;N;Dri;Res;0
Luis Quiñónes;P;COL;N;35;E;S;Arm;Vel;0
Adrián Ramos;A;COL;S;40;D;S;Cab;Imp;0
Daniel Valencia;A;ECU;N;30;D;S;Pas;For;0
Tomás Ángel;A;COL;N;23;E;N;Fin;Vel;0
