Atlético Nacional;COL;85;Atanasio Girardot;Lucas González Vélez;COL;007838;FFFFFF;45500
Franco Armani;G;ARG;N;39;D;S;Col;Con;0
Luis Marquinez;G;COL;N;23;E;N;Ref;For;0
Andrés Felipe Román;L;COL;N;30;D;S;Pas;For;0
Milton Casco;L;ARG;N;38;D;S;Cru;Ace;0
Samuel Velásquez;L;COL;N;23;E;N;Des;Agi;0
Yeicar Perlaza;L;COL;N;23;D;N;Pas;Vel;0
Andrés Reyes;Z;COL;N;26;D;N;Pos;Res;0
César Haydar;Z;COL;N;25;E;S;Mar;Imp;0
Néider Parra;Z;COL;N;21;D;N;Des;Con;0
Simón García;Z;COL;N;21;D;S;Ant;Res;0
William Tesillo;Z;COL;N;36;E;S;Cab;For;0
Elkin Rivero;V;COL;N;20;D;N;Mar;Vis;0
Jorman Campuzano;V;COL;N;30;D;S;Pas;Con;0
Matheus Uribe;V;COL;N;35;D;S;Des;Res;0
Edwin Cardona;M;COL;S;33;D;N;Chu;Vis;2
Elías Cabrera;M;ARG;N;23;D;N;Dri;Fri;0
Juan Rengifo;M;COL;N;21;E;S;Pas;Agi;0
Juan Zapata;M;COL;N;26;D;N;Chu;Cri;0
Andrés Sarmiento;P;COL;N;28;D;S;Fin;Ace;0
Ian Poveda;P;COL;N;26;E;N;Pas;Cri;0
Kevin Parra;P;COL;N;23;D;N;Dri;Agi;0
Marlos Moreno;P;COL;N;29;D;N;Dri;Ace;0
Nicolás Rodríguez;P;COL;N;22;E;N;Cru;Res;0
Alfredo Morelos;A;COL;S;30;D;S;Fin;Vel;0
Cristian Arango;A;COL;N;31;D;N;Cab;For;0
