Independiente Santa Fe;COL;82;El Campín;Pablo Repetto;URY;FFFFFF;E61B23;36000
Andrés Mosquera;G;COL;N;34;D;S;Ref;Imp;0
Juan Espitia;G;COL;N;26;D;N;Sgo;Con;0
Weimar Asprilla;G;COL;N;27;D;N;Col;For;0
Christian Mafla;L;COL;N;33;E;S;Cru;Res;0
Helibelton Palacios;L;COL;N;33;D;S;Mar;Vel;0
Jeison Angulo;L;COL;N;30;E;N;Des;For;0
Luis Palacios;L;COL;N;25;D;S;Pas;Agi;0
Mateo Puerta;L;COL;N;29;D;N;Cru;Res;0
Emmanuel Olivera;Z;ARG;S;36;D;S;Des;Con;0
Iván Scarpeta;Z;COL;N;30;D;N;Pos;For;0
Juan Quintero;Z;COL;N;31;D;N;Cab;Res;0
Kevin Balanta;Z;COL;N;29;D;N;Ant;For;0
Víctor Moreno;Z;COL;N;31;D;S;Mar;Imp;0
Dani Torres;V;COL;S;36;D;S;Mar;Res;0
Ewil Murillo;V;COL;N;26;D;N;Pas;Con;0
Jhojan Torres;V;COL;N;23;D;S;Des;For;0
Kilian Toscano;V;COL;N;22;D;S;Mar;Vis;0
Alexis Zapata;M;COL;S;31;E;N;Arm;Cri;0
Leandro Angulo;M;COL;N;24;D;N;Pas;Fri;0
Yilmar Velásquez;M;COL;N;26;D;N;Fin;Res;0
Emerson Rodríguez;P;COL;N;25;D;N;Dri;Agi;0
Jáder Obrian;P;COL;N;31;D;N;Pas;Vel;0
Maximiliano Lovera;P;ARG;N;27;D;N;Cru;Vel;0
Omar Fernández;P;COL;N;33;E;S;Dri;Res;0
Franco Fagúndez;A;URY;N;26;D;N;Fin;Imp;0
Hugo Rodallega;A;COL;S;41;D;S;Cab;For;6
Nahuel Bustos;A;ARG;N;28;D;N;Chu;Vel;0
