Junior de Barranquilla;COL;80;Metropolitano Roberto Meléndez;Alfredo Arias;URY;CC1F10;FFFFFF;46500
Jefersson Martínez;G;COL;N;33;D;N;Ref;Fri;0
Mauro Silveira;G;URY;N;26;D;S;Sgo;Con;0
Edwin Herrera;L;COL;N;27;D;S;Mar;Agi;0
Jhon Navia;L;COL;N;23;E;N;Cru;Res;0
Yeison Suárez;L;COL;N;29;E;S;Pas;For;0
Daniel Rivera;Z;COL;N;27;D;S;Mar;Res;0
Jean Carlos Pestaña;Z;COL;N;28;D;S;Cab;Vel;0
Jermein Peña;Z;COL;S;26;D;S;Des;For;0
Pablo Ortiz;Z;COL;N;26;E;N;Pos;Con;0
Guillermo Celis;V;COL;N;33;D;S;Pas;Agi;0
Jesús Rivas;V;COL;N;29;E;S;Mar;Con;0
Juan David Ríos;V;COL;N;34;D;S;Des;For;0
Fabián Ángel;M;COL;N;25;D;N;Fin;Vis;0
Harold Rivera;M;COL;N;33;D;N;Pas;Cri;0
Jannenson Sarmiento;M;COL;N;26;E;N;Arm;Res;0
Bryan Castrillón;P;COL;N;27;D;S;Dri;Ace;0
Cristian Barrios;P;COL;N;28;E;S;Pas;Agi;0
Deiber Caicedo;P;COL;S;26;D;N;Cru;Res;0
Joel Canchimbo;P;COL;N;21;D;S;Dri;Vel;0
Kevin Pérez;P;COL;N;29;D;N;Arm;Cri;0
Yimmi Chará;P;COL;N;35;D;S;Dri;Agi;0
Francisco Fydriszewski;A;ARG;N;33;D;N;Fin;Imp;0
Guillermo Paiva;A;PRY;N;29;D;S;Cab;For;0
Luis Muriel;A;COL;S;35;D;S;Chu;Res;0
Teófilo Gutiérrez;A;COL;N;41;D;N;Pas;Vel;6
