Millonarios;COL;82;El Campín;Fabián Bustos;ARG;002754;FFFFFF;36000
James Aguirre;G;COL;N;34;D;N;Ref;Con;0
Javier Burrai;G;ECU;N;35;D;S;Col;For;0
Carlos Sarabia;L;COL;N;21;D;S;Mar;For;0
Danovis Banguero;L;COL;N;36;E;N;Des;Ace;0
Jhomier Guerrero;L;COL;N;25;D;N;Cru;Res;0
Samuel Martín;L;COL;N;20;D;N;Pas;Agi;0
Sebastián Valencia;L;COL;N;30;E;S;Pos;Ace;0
Alex Moreno;Z;COL;N;24;D;N;Mar;Vel;0
Andrés Llinás;Z;COL;S;29;D;S;Pos;Res;4
Jorge Arias;Z;COL;N;33;E;S;Mar;For;0
Sergio Mosquera;Z;COL;N;32;D;S;Cab;Imp;0
Stiven Barreiro;Z;COL;N;32;D;N;Des;Con;0
Leonai;V;BRA;N;31;D;N;Des;Agi;0
Rodrigo Ureña;V;CHL;N;33;D;S;Mar;Res;0
Stiven Vega;V;COL;N;28;D;N;Pas;Vis;0
Darwin Quintero;M;COL;N;38;D;N;Dri;Cri;0
David Silva;M;COL;N;39;D;S;Fin;Vis;0
Dewar Victoria;M;COL;N;25;D;N;Chu;Agi;0
Juan Carlos Pereira;M;COL;N;33;D;N;Pas;Res;0
Mateo García;M;COL;N;27;D;S;Chu;Fri;0
Sebastián Viveros;M;COL;N;21;D;N;Dri;Agi;0
Andrey Estupiñán;P;COL;N;32;D;N;Fin;Vel;0
Daniel Ruiz;P;COL;S;25;E;N;Pas;Ace;0
Francisco Chaverra;P;COL;N;26;E;N;Cru;Vel;0
Julián Angulo;P;COL;N;24;D;N;Dri;Res;0
Leonardo Castro;A;COL;N;34;D;S;Fin;Vel;0
Rodrigo Contreras;A;ARG;S;30;E;S;Pas;Imp;0
Santiago Giordana;A;ARG;N;31;D;N;Chu;Res;0
