Arminia Bielefeld;DEU;74;SchücoArena;Oliver Kirch;DEU;FFFFFF;005998;27000
Jonas Kersken;G;DEU;N;25;D;S;Sgo;For;0
Leo Oppermann;G;DEU;N;24;D;N;Col;Fle;0
Philip Hildesheim;G;DEU;N;21;D;N;Rbo;Imp;0
Arne Sicker;L;DEU;N;29;E;N;Cru;Ace;0
Felix Hagmann;L;DEU;N;22;D;N;Cru;Vel;0
Henri Koudossou;L;DEU;N;26;D;S;Mar;Vel;0
Tim Handwerker;L;DEU;N;28;E;S;Mar;For;0
Joel Felix;Z;DNK;N;28;E;N;Ant;Vel;0
Leon Schneider;Z;DEU;N;26;D;N;Des;Res;0
Maximilian Bauer;Z;DEU;N;26;D;S;Des;For;0
Maximilian Großer;Z;DEU;N;25;D;S;Pos;Vel;0
Stefano Russo;V;DEU;N;26;D;S;Ant;For;0
Eyyüb Yasar;M;DEU;N;18;D;N;Arm;Cri;0
Leon Jensen;M;DEU;N;29;A;S;Pas;Res;0
Lukas Kunze;M;DEU;N;28;D;N;Pas;Res;0
Marius Wörl;M;DEU;N;22;D;S;Arm;Res;0
Marvin Mehlem;M;DEU;N;28;D;N;Fin;Vis;0
Sam Schreck;M;DEU;N;27;A;N;Chu;Cri;0
Till Wegener;M;DEU;N;17;D;N;Pas;Vis;0
Benjamin Boakye;P;DEU;N;21;D;N;Fin;Vel;0
Daniel Richter;P;DEU;N;18;D;N;Fin;Agi;0
Isaiah Young;P;USA;N;28;D;N;Dri;Vel;0
Jannik Rochelt;P;DEU;N;27;A;S;Cru;Vel;0
Monju Momuluh;P;DEU;N;24;D;S;Dri;Agi;0
David Min;A;NLD;N;27;D;N;Cab;Imp;0
Joel Grodowski;A;DEU;N;28;E;S;Fin;Res;0
Roberts Uldrikis;A;LVA;N;28;D;N;Cab;Imp;0
