Bayer Leverkusen;DEU;91;BayArena;Carles Martínez;ESP;FF0000;000000;30000
Janis Blaswich;G;DEU;N;35;D;N;Col;Imp;0
Mark Flekken;G;NLD;N;33;A;S;Sgo;Fle;0
Niklas Lomb;G;DEU;N;33;D;N;Col;Imp;0
Guéla Doué;L;CIV;N;23;D;N;Pas;Agi;0
Lucas Vázquez;L;ESP;N;35;D;S;Pos;For;0
Miguel Gutiérrez;L;ESP;N;24;E;N;Pas;For;0
Edmond Tapsoba;Z;BFA;N;27;D;S;Cab;For;3
Facundo Medina;Z;ARG;N;27;E;N;Des;Con;0
Jarell Quansah;Z;ENG;N;23;D;S;Mar;Vel;0
Loïc Badé;Z;FRA;N;26;D;S;Des;Con;0
Tim Oermann;Z;DEU;N;22;D;N;Des;Imp;0
Equi Fernández;V;ARG;N;24;E;N;Des;Res;4
Kennet Eichhorn;V;DEU;N;17;D;N;Pas;Con;0
Robert Andrich;V;DEU;N;31;D;S;Ant;Vis;0
Aleix García;M;ESP;N;29;D;S;Pas;Vis;0
Ibrahim Maza;M;DZA;N;20;D;S;Pas;Cri;0
Jonas Hofmann;M;DEU;N;34;D;N;Chu;Vis;0
Malik Tillman;M;USA;N;24;D;S;Pas;Vis;0
Naba Mensah;M;DEU;N;19;A;N;Pas;Vis;0
Afonso Moreira;P;PRT;N;21;D;S;Dri;Vel;0
Eliesse Ben Seghir;P;MAR;N;21;D;N;Cru;Vel;0
Martin Terrier;P;FRA;N;29;D;N;Dri;Agi;0
Montrell Culbreath;P;DEU;N;18;D;N;Dri;Ace;0
Moussa Diaby;P;FRA;N;27;E;N;Arm;Vel;0
Nathan Tella;P;NGA;N;27;D;N;Cru;Agi;0
Aleksa Damjanovic;A;SRB;N;17;E;N;Fin;Imp;0
Christian Kofane;A;CMR;N;20;D;N;Cab;Imp;0
Ndjicoura Bomba;A;MLI;N;18;D;N;Fin;For;0
Patrik Schick;A;CZE;S;30;E;S;Fin;Res;6
Victor Boniface;A;NGA;N;25;D;N;Fin;Vel;0
