Bayern;DEU;99;Allianz Arena;Vincent Kompany;BEL;DB072D;FFFFFF;75000
Jonas Urbig;G;DEU;N;22;A;N;Rbo;Fle;0
Leon Klanac;G;DEU;N;19;D;N;Col;Fle;0
Manuel Neuer;G;DEU;S;40;D;S;Ref;Fri;4
Sven Ulreich;G;DEU;N;37;D;N;Rbo;For;0
Alphonso Davies;L;CAN;N;25;E;N;Pas;Vel;0
Josip Stanisic;L;HRV;N;26;A;S;Mar;Res;0
Konrad Laimer;L;AUT;N;29;D;S;Des;Res;0
Nathaniel Brown;L;DEU;N;23;E;N;Mar;For;0
Sacha Boey;L;FRA;N;25;D;N;Des;Vel;0
Dayot Upamecano;Z;FRA;N;27;D;S;Ant;Vel;0
Hiroki Ito;Z;JPN;N;27;E;N;Ant;Vel;0
Jonathan Tah;Z;DEU;N;30;D;S;Cab;For;0
Min-jae Kim;Z;KOR;N;29;D;N;Mar;Res;0
Tarek Buchmann;Z;DEU;N;21;D;N;Mar;Imp;0
Aleksandar Pavlovic;V;DEU;N;22;A;S;Des;Vis;0
Joshua Kimmich;V;DEU;S;31;D;S;Des;Vis;3
Santos Daiber;V;PRT;N;19;D;N;Pas;Con;0
Bara Sapoko Ndiaye;M;SEN;N;18;D;N;Pas;Res;0
Ismael Saibari;M;MAR;N;25;D;N;Fin;Fri;0
Jamal Musiala;M;DEU;S;23;D;N;Pas;Agi;5
Lennart Karl;M;DEU;N;18;E;N;Pas;Vis;0
Tom Bischof;M;DEU;N;21;E;N;Chu;Cri;0
Luis Díaz;P;COL;N;29;D;S;Dri;Ace;5
Michael Olise;P;FRA;S;24;E;S;Dri;Agi;0
Harry Kane;A;ENG;S;32;D;S;Fin;For;6
Serge Gnabry;A;DEU;N;30;D;S;Dri;Vel;0
