Borussia Dortmund;DEU;92;Signal Iduna Park;Niko Kovac;HRV;FDF105;000000;81000
Alexander Meyer;G;DEU;N;35;D;N;Col;Fri;0
Gregor Kobel;G;CHE;N;28;D;S;Col;Con;1
Patrick Drewes;G;DEU;N;33;D;N;Rbo;Fri;0
Silas Ostrzinski;G;DEU;N;22;D;N;Sgo;For;0
Daniel Svensson;L;SWE;N;24;E;S;Cru;Agi;0
Julian Ryerson;L;NOR;N;28;D;S;Cru;Agi;0
Kauã Prates;L;BRA;N;18;E;N;Des;Vel;0
Emre Can;Z;DEU;N;32;D;N;Des;Con;3
Filippo Mane;Z;ITA;N;21;D;N;Pos;Vel;0
Joane Gadou;Z;FRA;N;19;D;N;Ant;For;0
Luca Reggiani;Z;ITA;N;18;D;N;Ant;Vel;0
Nico Schlotterbeck;Z;DEU;S;26;E;S;Cab;Imp;0
Ramy Bensebaini;Z;DZA;N;31;E;S;Pos;Vel;0
Waldemar Anton;Z;DEU;S;30;D;S;Cab;Imp;0
Mussa Kaba;V;DEU;N;17;D;N;Pas;For;0
Chukwuemeka;M;ENG;N;22;D;N;Pas;Res;0
Enzo dos Santos;M;LUX;N;17;D;N;Pas;Vis;0
Ethan Nwaneri;M;ENG;N;19;E;N;Pas;Cri;0
Felix Nmecha;M;DEU;N;25;D;S;Pas;Cri;3
Giannis Konstantelias;M;GRC;N;23;A;N;Dri;Cri;0
Jobe Bellingham;M;ENG;N;20;D;S;Arm;Agi;0
Joey Veerman;M;NLD;N;27;D;N;Chu;Fri;4
Justin Lerma;M;ECU;N;18;D;N;Arm;Cri;0
Konstantinos Karetsas;M;GRC;N;18;E;N;Dri;Cri;0
Marcel Sabitzer;M;AUT;N;32;D;S;Chu;Vis;5
Mathis Albert;P;USA;N;17;D;N;Dri;Vel;0
Fábio Silva;A;PRT;N;24;D;N;Fin;Fri;0
Maximilian Beier;A;DEU;N;23;D;S;Fin;Vel;0
Samuele Inácio;A;ITA;N;18;D;N;Fin;Fri;0
Serhou Guirassy;A;GIN;S;30;D;S;Fin;For;0
