Duisburg;DEU;67;Schauinsland-Reisen-Arena;Dietmar Hirsch;DEU;FFFFFF;23336B;31500
Laurenz Jennissen;G;DEU;N;18;D;N;Ref;Fle;0
Maximilian Braune;G;DEU;N;23;D;S;Ref;Con;0
Toni Stahl;G;DEU;N;26;D;N;Rbo;Fle;0
Can Coskun;L;DEU;N;28;E;S;Pas;Agi;0
Frederik Christensen;L;DNK;N;24;E;N;Cru;Res;0
Joshua Bitter;L;DEU;N;29;D;S;Des;For;0
Niklas Jessen;L;DEU;N;22;A;N;Des;Vel;0
Alexander Hahn;Z;DEU;N;33;E;N;Des;For;0
Ben Schlicke;Z;DEU;N;20;E;S;Pos;Vel;0
Martin Ens;Z;DEU;N;24;D;N;Pos;Con;0
Tobias Fleckstein;Z;DEU;N;27;D;S;Cab;Con;0
Aljaz Casar;V;SVN;N;25;D;N;Des;Res;0
Rasim Bulic;V;DEU;N;25;D;S;Mar;For;0
Christian Viet;M;DEU;N;27;D;S;Arm;Res;0
Conor Noß;M;DEU;N;25;A;N;Dri;Agi;0
Jakob Bookjans;M;DEU;N;26;E;S;Fin;Cri;0
Max Besuschkow;M;DEU;N;29;D;N;Pas;Vis;0
Dennis Borkowski;P;DEU;N;24;D;N;Dri;Vel;0
Dominik Kother;P;DEU;N;26;D;S;Dri;Ace;0
Florian Krüger;P;DEU;N;27;D;N;Fin;Res;0
Jan-Simon Symalla;P;DEU;N;21;D;S;Arm;Vel;0
Patrick Sussek;P;DEU;N;26;D;N;Arm;Cri;0
Ramien Safi;P;NLD;N;26;A;N;Dri;Vel;0
Jannik Zahmel;A;DEU;N;23;D;N;Pas;For;0
Lex Tyger Lobinger;A;DEU;N;27;D;S;Fin;For;0
Peter Remmert;A;DEU;N;21;D;N;Cab;Imp;0
