Eintracht Braunschweig;DEU;72;EINTRACHT-Stadion;Lars Kornetka;DEU;025FAC;FDF105;23000
Benjamin Uphoff;G;DEU;N;32;D;N;Ref;Imp;0
Hoffmann;G;DEU;N;27;D;S;Rbo;For;0
Nick Bodon;G;DEU;N;19;E;N;Col;Con;0
Damjan Kovacevic;L;AUT;N;21;D;N;Pos;Res;0
Fabio Di Michele Sanchez;L;DEU;N;23;E;S;Pas;Ace;0
Noah Katterbach;L;DEU;N;25;E;N;Pos;Agi;0
Sanoussy Ba;L;DEU;N;22;A;N;Pas;Vel;0
Andi Hoti;Z;XKX;N;23;D;N;Mar;Res;0
Frederik Jäkel;Z;DEU;N;25;D;N;Ant;Vel;0
Kevin Ehlers;Z;DEU;N;25;D;S;Cab;Imp;0
Lukas Frenkert;Z;DEU;N;25;A;S;Des;For;0
Florian Flick;V;DEU;N;26;A;S;Mar;For;0
Samuele Di Benedetto;V;DEU;N;21;E;N;Pas;Agi;0
Johan Gómez;M;USA;N;24;A;S;Pas;Cri;0
Lino Tempelmann;M;DEU;N;27;D;N;Fin;Agi;0
Max Marie;M;DEU;N;21;A;S;Fin;Cri;0
Mehmet Aydin;M;TUR;N;24;D;S;Fin;Agi;0
Robin Heußer;M;DEU;N;28;D;S;Pas;Cri;0
Sidney Raebiger;M;DEU;N;21;D;N;Pas;Vis;0
Tristan Wagner;M;DEU;N;21;D;N;Pas;Agi;0
Aaron Opoku;P;DEU;N;27;D;N;Dri;Ace;0
Junior Zé;P;CHE;N;20;D;N;Dri;Agi;0
Sidi Sané;P;DEU;N;23;D;S;Dri;Ace;0
Yann Sturm;P;DEU;N;21;D;N;Dri;Ace;0
Jan Urbich;A;DEU;N;22;D;N;Fin;For;0
Jovan Mijatovic;A;SRB;N;21;E;N;Fin;Vel;0
Maximilian Entrup;A;AUT;N;28;D;S;Fin;For;0
