Energie Cottbus;DEU;73;LEAG Energie Stadion;Claus-Dieter Wollitz;DEU;D9081F;FFFFFF;20500
Kevin Kratzsch;G;DEU;N;24;E;N;Col;Con;0
Malte Wilke;G;DEU;N;19;D;N;Col;Fle;0
Marcel Lotka;G;DEU;N;25;D;S;Ref;Con;0
Max Böhnke;G;DEU;N;22;A;N;Ref;Con;0
Anderson Lucoqui;L;AGO;N;29;E;N;Des;Agi;0
Henry Rorig;L;DEU;N;26;D;S;Cru;Vel;0
Jannis Zaydan;L;DEU;N;19;E;N;Pos;Agi;0
Luca Erlein;L;DEU;N;19;A;S;Pas;For;0
Fousseny Doumbia;Z;MLI;N;21;E;N;Mar;For;0
Joey Taubeneck;Z;DEU;N;19;E;N;Pos;Con;0
King Manu;Z;DEU;N;22;D;S;Pos;For;0
Ryan Malone;Z;USA;N;34;D;N;Mar;Res;0
Tim Campulka;Z;DEU;N;27;D;N;Cab;Imp;0
Dominik Pelivan;V;DEU;N;30;D;N;Des;Con;0
Jonas Hofmann;V;DEU;N;29;D;N;Des;Con;0
Lukas Michelbrink;V;LTU;N;21;D;S;Pas;Vis;0
Aaron Reschke;M;DEU;N;18;D;N;Pas;Res;0
Axel Borgmann;M;DEU;N;32;E;N;Arm;Res;0
Jannis Boziaris;M;DEU;N;23;D;S;Fin;Cri;0
Julian Guttau;M;DEU;N;26;E;N;Fin;Fri;0
Leonardo Bittencourt;M;DEU;N;32;D;S;Dri;Vis;0
Tolcay Cigerci;M;DEU;N;31;E;S;Chu;Vis;0
Yusuf Wardak;M;DEU;N;20;A;N;Fin;Cri;0
Christian Kinsombi;P;DEU;N;26;D;N;Fin;Vel;0
Justin Butler;P;DEU;N;25;A;S;Dri;Vel;0
Moritz Hannemann;P;DEU;N;28;D;S;Pas;Cri;0
Dmytro Bogdanov;A;UKR;N;19;D;N;Fin;Fri;0
Erik Engelhardt;A;DEU;N;28;E;S;Fin;Imp;0
Lucas Copado;A;DEU;N;22;D;N;Fin;Fri;0
