Freiburg;DEU;87;Europa-Park Stadion;Julian Schuster;DEU;C20000;FFFFFF;34500
Florian Müller;G;DEU;N;28;E;N;Ref;For;0
Jannik Huth;G;DEU;N;32;D;N;Col;Fle;0
Mio Backhaus;G;DEU;N;22;D;S;Sgo;Fle;0
Berkay Yılmaz;L;TUR;N;21;E;N;Pas;Vel;0
Christian Günter;L;DEU;N;33;E;S;Pos;Res;0
Jordy Makengo;L;FRA;N;24;E;N;Cru;Ace;0
Lukas Kübler;L;DEU;N;33;D;S;Des;For;0
Philipp Treu;L;DEU;N;25;D;S;Pas;Vel;0
Anthony Jung;Z;DEU;N;34;E;S;Cab;Imp;0
Bruno Ogbus;Z;CHE;N;20;D;N;Des;Con;0
Matthias Ginter;Z;DEU;N;32;D;S;Cab;Res;0
Max Rosenfelder;Z;DEU;N;23;D;N;Mar;Vel;0
Philipp Lienhart;Z;AUT;N;29;D;N;Des;Vel;0
Patrick Osterhage;V;DEU;N;26;E;S;Mar;Con;0
Rihito Yamamoto;V;JPN;N;24;E;N;Pas;Res;0
Yannik Engelhardt;V;DEU;N;25;D;N;Des;Con;0
Maximilian Eggestein;M;DEU;N;29;D;S;Chu;Fri;0
Rouven Tarnutzer;M;CHE;N;18;D;N;Fin;Cri;0
Cyriaque Irié;P;BFA;N;21;E;N;Dri;Vel;0
Derry Scherhant;P;DEU;N;23;D;N;Dri;Cri;0
Florent Muslija;P;XKX;N;27;D;N;Pas;Vel;0
Niklas Beste;P;DEU;N;27;E;S;Arm;Agi;0
Vincenzo Grifo;P;ITA;N;33;D;S;Fin;Cri;0
Ben Farhat;A;TUN;N;20;D;N;Fin;Fri;0
Igor Matanovic;A;HRV;N;23;D;N;Cab;For;0
Keisuke Goto;A;JPN;N;21;D;N;Fin;Vel;0
Lucas Höler;A;DEU;N;31;D;N;Fin;Fri;0
Yuito Suzuki;A;JPN;N;24;D;S;Dri;Vel;0
