Greuther Fürth;DEU;71;Sportpark Ronhof;Heiko Vogel;DEU;FFFFFF;009933;16500
Christian Ortag;G;DEU;N;31;D;S;Col;Con;0
Florian Hellstern;G;DEU;N;18;D;N;Rbo;Fri;0
Silas Prüfrock;G;DEU;N;21;D;N;Sgo;Fle;0
Jannik Dehm;L;DEU;N;30;D;S;Pos;For;0
Lukas Reich;L;DEU;N;19;D;S;Mar;Ace;0
Raul Marita;L;ROU;N;19;E;N;Cru;Vel;0
Hendry Blank;Z;DEU;N;21;E;N;Ant;Vel;0
Jannis Heuer;Z;DEU;N;26;D;S;Pos;Imp;0
Krisztián Keresztes;Z;HUN;N;26;E;N;Cab;Imp;0
Luca Itter;Z;DEU;N;27;E;S;Ant;Res;0
Maxim Dal;Z;DEU;N;20;E;N;Pos;Imp;0
Doni Arifi;V;FIN;N;24;E;N;Ant;For;0
Paul Will;V;DEU;N;27;E;S;Pas;Res;0
Philipp Müller;V;DEU;N;22;A;N;Mar;Con;0
Sacha Bansé;V;BFA;N;25;D;N;Ant;Res;0
Faton Ademi;M;XKX;N;20;D;N;Dri;Agi;0
Mehmet Avlayici;M;DEU;N;20;A;N;Pas;Agi;0
Ole Pohlmann;M;DEU;N;25;D;S;Dri;Res;0
Omar Megeed;M;EGY;N;20;D;N;Pas;Res;0
Shinta Appelkamp;M;DEU;N;25;D;S;Arm;Cri;0
Aaron Keller;P;CHE;N;22;D;S;Cru;Vel;0
Felix Klaus;P;DEU;N;33;D;S;Fin;Ace;0
Mika Wallentowitz;P;DEU;N;18;D;N;Arm;Res;0
Benjamin Zank;A;DEU;N;21;D;N;Fin;For;0
Dennis Srbeny;A;DEU;N;32;D;S;Fin;Imp;0
Jordan;A;USA;N;30;D;N;Pas;For;0
Omar Sillah;A;DEU;N;22;D;N;Fin;For;0
