Hannover 96;DEU;76;Heinz-von-Heiden-Arena;Christian Titz;DEU;009932;FFFFFF;49000
Jonas Schwanke;G;DEU;N;19;E;N;Ref;Imp;0
Leo Weinkauf;G;DEU;N;30;D;S;Sgo;Con;0
Pascal Loretz;G;CHE;N;23;D;N;Ref;For;0
Karl Steinmann;L;DEU;N;20;D;N;Pos;For;0
Bastian Allgeier;Z;DEU;N;24;D;N;Cab;For;0
Boris Tomiak;Z;DEU;N;27;D;S;Mar;Imp;0
Ime Okon;Z;ZAF;N;22;D;S;Des;For;0
Jean Hugonet;Z;FRA;N;26;D;S;Ant;For;0
Joschua Siewert;Z;DEU;N;17;D;N;Pos;Con;0
Virgil Ghiță;Z;ROU;N;28;D;S;Pos;For;0
Noah Engelbreth;V;DEU;N;21;D;S;Pas;Res;0
Alexander Vogel;M;DEU;N;20;D;N;Arm;Cri;0
Franz Roggow;M;DEU;N;24;E;N;Dri;Res;0
Lars Gindorf;M;DEU;N;24;D;N;Fin;Fri;0
Marcel Hartel;M;DEU;N;30;A;N;Arm;Vis;0
Mwisho Mhango;M;MWI;N;18;D;N;Dri;Fri;0
Stefán Teitur Thórdarson;M;ISL;N;27;D;N;Pas;Res;0
Waniss Taïbi;M;FRA;N;24;A;N;Fin;Cri;0
Emir Sahiti;P;XKX;N;27;D;N;Dri;Agi;0
Hayate Matsuda;P;JPN;N;22;E;S;Dri;Agi;0
Husseyn Chakroun;P;LBN;N;21;D;N;Pas;Vel;0
Kolja Oudenne;P;SWE;N;24;D;S;Dri;Ace;0
Maurice Neubauer;P;DEU;N;30;E;S;Dri;Vel;0
Mustapha Bundu;P;SLE;N;29;D;S;Cru;Cri;0
Taycan Kurt;P;TUR;N;18;D;N;Dri;Vel;0
Yunus Ünal;P;DEU;N;18;E;N;Fin;Vel;0
Benedikt Pichler;A;AUT;N;29;D;N;Cab;Imp;0
Benjamin Källman;A;FIN;N;28;D;S;Fin;Fri;0
Taycan Etcibasi;A;DEU;N;19;D;N;Fin;Fri;0
Tom Hobrecht;A;DEU;N;19;D;N;Fin;Res;0
