Hansa Rostock;DEU;67;Ostseestadion;Daniel Brinkmann;DEU;FFFFFF;006AB1;29000
Erik Maurer;G;DEU;N;20;D;N;Ref;Fle;0
Luca Unbehaun;G;DEU;N;25;D;S;Ref;Imp;0
Philipp Klewin;G;DEU;N;32;D;N;Col;Con;0
Yannic Stein;G;DEU;N;21;D;N;Rbo;Con;0
Florian Bohnert;L;LUX;N;28;D;S;Pas;Ace;0
Milosz Brzozowski;L;POL;N;21;E;N;Pas;Agi;0
Niklas Kölle;L;DEU;N;26;E;S;Cru;Res;0
Ouassim Karada;L;DEU;N;20;A;N;Pas;Res;0
Ahmet Gürleyen;Z;DEU;N;27;D;N;Mar;For;0
Florian Carstens;Z;DEU;N;27;A;S;Cab;For;0
Franz Pfanne;Z;DEU;N;31;D;N;Des;Con;0
Leon Reichardt;Z;DEU;N;22;E;N;Ant;Vel;0
Lukas Wallner;Z;AUT;N;23;E;S;Cab;For;0
Kenan Fatkic;V;SVN;N;29;E;S;Pas;Vis;0
Marco Schuster;V;DEU;N;30;D;S;Des;Con;0
Robin Falk;V;DEU;N;19;D;N;Mar;Con;0
Benno Dietze;M;DEU;N;23;D;N;Pas;Res;0
David Kopacz;M;POL;N;27;D;N;Fin;Agi;0
Felikss Sprogis;M;LVA;N;18;D;N;Fin;Agi;0
Jonas Dirkner;M;DEU;N;24;A;S;Dri;Agi;0
Paul Stock;M;DEU;N;29;D;N;Arm;Vis;0
Bernie Lennemann;P;DEU;N;23;E;S;Fin;Vel;0
Fiete Bock;P;DEU;N;18;A;N;Fin;Cri;0
Leon Dajaku;P;DEU;N;25;A;N;Dri;Vel;0
Maximilian Krauß;P;DEU;N;29;A;S;Dri;Res;0
Yannick Michaelis;P;DEU;N;20;A;N;Arm;Vel;0
Andreas Voglsammer;A;DEU;N;34;A;S;Fin;For;0
David Hummel;A;DEU;N;24;D;N;Fin;Res;0
Emil Holten;A;DNK;N;30;D;N;Fin;For;0
Peter Kiedl;A;AUT;N;22;D;N;Cab;For;0
