Heidenheim;DEU;74;Voith-Arena;Frank Schmidt;DEU;002A57;F00520;15000
Felix Mark;G;DEU;N;18;D;N;Col;Con;0
Frank Feller;G;DEU;N;22;D;S;Ref;For;0
Paul Tschernuth;G;AUT;N;24;E;N;Rbo;For;0
Thomas Dähne;G;DEU;N;32;A;N;Rbo;Con;0
Jonas Föhrenbach;L;DEU;N;30;E;S;Pos;Vel;0
Leart Paçarada;L;XKX;N;31;E;N;Pos;For;0
Marnon Busch;L;DEU;N;31;D;S;Pas;Agi;0
Michael Heule;L;CHE;N;25;E;N;Cru;For;0
Oualid Mhamdi;L;MAR;N;23;D;S;Pas;Res;0
Adam Kölle;Z;DEU;N;20;D;N;Des;Res;0
Patrick Mainka;Z;DEU;N;31;D;S;Pos;Imp;0
Tim Siersleben;Z;DEU;N;26;E;S;Pos;Res;0
Julian Niehues;V;DEU;N;25;D;S;Ant;Res;0
Marko Zrilić;V;HRV;N;18;D;N;Ant;Con;0
Jan Schöppner;M;DEU;N;27;D;S;Chu;Cri;0
Luca Kerber;M;DEU;N;24;D;N;Fin;Agi;0
Christian Conteh;P;DEU;N;27;D;N;Cru;Agi;0
Marcel Costly;P;DEU;N;30;D;S;Fin;Res;0
Mathias Honsak;P;AUT;N;29;E;S;Cru;Ace;0
Paul Hennrich;P;DEU;N;21;E;N;Arm;Cri;0
Sirlord Conteh;P;DEU;N;30;D;N;Fin;Vel;0
Yannik Wagner;P;DEU;N;19;E;N;Dri;Ace;0
Alessandro Vogt;A;CHE;N;21;D;N;Fin;For;0
Budu Zivzivadze;A;GEO;N;32;A;S;Fin;Fri;0
Maximilian Breunig;A;DEU;N;26;E;N;Chu;Fri;0
Mikkel Kaufmann;A;DNK;N;25;D;N;Fin;Fri;0
