Hertha BSC;DEU;76;Olympiastadion;Stefan Leitl;DEU;004CFF;FFFFFF;74500
Konstantin Heide;G;DEU;N;20;D;N;Ref;For;0
Marius Gersbeck;G;DEU;N;31;E;S;Rbo;Fle;0
Tim Goller;G;DEU;N;21;D;N;Ref;Fle;0
Deyovaisio Zeefuik;L;SUR;N;28;D;S;Mar;Res;0
Julian Eitschberger;L;DEU;N;22;D;S;Pos;Res;0
Mads Pedersen;L;DNK;N;29;E;N;Cru;Ace;0
Mayson Grothe;L;DEU;N;17;E;N;Pas;Agi;0
Jerome Diallo;Z;DEU;N;17;D;N;Mar;Vel;0
Linus Gechter;Z;DEU;N;22;D;S;Des;Res;0
Márton Dárdai;Z;HUN;N;24;E;S;Pos;Con;0
Niklas Kolbe;Z;DEU;N;29;E;S;Des;Res;0
Pascal Klemens;Z;DEU;N;21;D;N;Ant;Con;0
Boris Mamuzah Lum;V;DEU;N;18;A;N;Mar;Res;0
Selim Telib;V;EGY;N;20;D;N;Mar;Con;0
Kevin Sessa;M;DEU;N;26;D;S;Pas;Agi;0
Kian Todorovic;M;TUR;N;19;D;N;Chu;Cri;0
Oluwaseun Adewumi;M;AUT;N;21;D;N;Dri;Agi;0
Paul Seguin;M;DEU;N;31;D;S;Chu;Agi;0
Soufian Gouram;M;EST;N;20;E;N;Arm;Vis;0
Gustav Christensen;P;DNK;N;21;D;N;Pas;Res;0
Jelani Ndi;P;DEU;N;18;E;N;Dri;Agi;0
Josip Brekalo;P;HRV;N;28;D;S;Cru;Cri;0
Jón Thorsteinsson;P;ISL;N;27;D;N;Cru;Cri;0
Luca Schuler;A;DEU;N;27;D;S;Cab;Imp;0
Niklas Hildebrandt;A;DEU;N;18;D;N;Fin;Imp;0
Sebastian Grönning;A;DNK;N;29;D;S;Fin;For;0
