Holstein Kiel;DEU;74;Holstein-Stadion;Tim Walter;DEU;0F5787;FFFFFF;15000
Lio Rothenhagen;G;DEU;N;19;D;N;Ref;Fle;0
Marcel Engelhardt;G;DEU;N;33;D;N;Ref;Con;0
Timon Weiner;G;DEU;N;27;A;S;Ref;For;0
Hiroki Sekine;L;JPN;N;24;D;S;Des;Vel;0
John Tolkin;L;USA;N;24;E;N;Pos;Agi;0
Lasse Rosenboom;L;DEU;N;24;D;N;Mar;For;0
Leon Parduzi;L;XKX;N;19;E;S;Cru;Res;0
Niko Takahashi;L;JPN;N;21;E;N;Pas;Vel;0
Caspar Medlin;Z;DEU;N;19;D;N;Cab;Con;0
David Zec;Z;SVN;N;26;D;S;Mar;Res;0
Frederik Roslyng;Z;DNK;N;20;E;N;Pos;Con;0
Ivan Nekic;Z;HRV;N;25;D;S;Mar;Res;0
Marko Ivezic;Z;SRB;N;24;D;N;Mar;Res;0
Noah Madsen;Z;DNK;N;24;D;N;Ant;Con;0
Sebastian Schonlau;Z;DEU;N;32;A;N;Pos;Con;0
Jonas Meffert;V;DEU;N;31;D;S;Mar;For;0
Kasper Davidsen;V;DNK;N;21;D;S;Ant;Res;0
Taisei Abe;V;JPN;N;22;E;N;Pas;Res;0
Guillermo Balzi;M;ARG;N;25;E;S;Arm;Cri;0
Hamza Muqaj;M;XKX;N;20;D;N;Chu;Cri;0
Ikem Ugoh;M;DEU;N;21;D;N;Pas;Res;0
Jonas Therkelsen;M;NOR;N;23;D;S;Pas;Cri;0
Adrián Kaprálik;P;SVK;N;24;D;S;Pas;Vel;0
Andu Kelati;P;DEU;N;24;D;N;Cru;Ace;0
Faride Alidou;P;DEU;N;25;D;N;Dri;Cri;0
Gyan de Regt;P;NLD;N;23;D;N;Arm;Vel;0
Moritz Reimers;P;DEU;N;19;D;N;Arm;Cri;0
Giorgi Kvilitaia;A;GEO;N;32;D;N;Cab;Res;0
Phil Harres;A;DEU;N;24;D;S;Chu;Fri;0
Steven Skrzybski;A;DEU;N;33;D;N;Fin;Fri;0
