Kaiserslautern;DEU;74;Fritz-Walter-Stadion;Torsten Lieberknecht;DEU;F50505;FFFCFC;49000
Enis Kamga;G;DEU;N;19;D;N;Sgo;Fle;0
Julian Krahl;G;DEU;N;26;D;S;Rbo;Fle;0
Yannick Onohiol;G;DEU;N;21;D;N;Ref;Con;0
Alex Murphy;L;IRL;N;22;E;N;Pos;Agi;0
Mika Haas;L;DEU;N;20;E;S;Pas;Vel;0
Paul Joly;L;FRA;N;26;D;S;Cru;Vel;0
Simon Asta;L;DEU;N;25;D;S;Cru;Ace;0
Ivan Knezevic;Z;HRV;N;19;D;N;Pos;For;0
Jacob Rasmussen;Z;DNK;N;29;E;N;Ant;Vel;0
Jan Elvedi;Z;CHE;N;29;D;N;Mar;For;0
Kelven Frees;Z;DEU;N;21;D;N;Pos;Res;0
Maxwell Gyamfi;Z;DEU;N;26;D;S;Mar;For;0
David Schramm;V;DEU;N;20;D;N;Mar;Con;0
Dion Hofmeister;V;DEU;N;17;A;N;Mar;Agi;0
Fabian Kunze;V;DEU;N;28;D;S;Pas;Con;0
Leon Robinson;V;DEU;N;25;D;S;Ant;Res;0
Erik Müller;M;DEU;N;20;D;N;Pas;Agi;0
Kian Scheer;M;DEU;N;19;D;N;Pas;Agi;0
Mario Sauer;M;SVK;N;22;D;N;Chu;Cri;0
Marlon Ritter;M;DEU;N;31;D;S;Chu;Cri;0
Naatan Skyttä;M;FIN;N;24;E;S;Fin;Cri;0
Owen Gibs;M;DEU;N;19;A;N;Pas;Res;0
Semih Sahin;M;DEU;N;26;D;S;Pas;Vis;0
Ben Jungfleisch;P;DEU;N;18;D;N;Pas;Agi;0
Ibrahim Kanaté;P;MLI;N;19;D;N;Dri;Ace;0
Thierry Tazemeta;P;AUT;N;18;E;N;Pas;Vel;0
Erencan Yardımcı;A;TUR;N;24;D;N;Fin;Imp;0
Ivan Prtajin;A;HRV;N;30;D;S;Fin;Res;0
Mergim Berisha;A;DEU;N;28;D;N;Cab;Fri;0
Milos Lukovic;A;SRB;N;20;D;N;Fin;Vel;0
