Karlsruher;DEU;73;BBBank Wildpark;Maximilian Senft;AUT;0033CC;FFFFFF;34000
Ferdinand Gebert;G;DEU;N;20;D;N;Ref;Fle;0
Hans Christian Bernat;G;DNK;N;25;D;S;Sgo;Fle;0
Robin Himmelmann;G;DEU;N;37;D;N;Rbo;For;0
Deniz Ofli;L;TUR;N;19;E;S;Pas;Agi;0
Pinto Pedrosa;L;DEU;N;18;D;S;Pas;Vel;0
Sebastian Jung;L;DEU;N;36;D;S;Pas;Res;0
Viktor Bergh;L;SWE;N;27;E;N;Cru;Vel;0
Christoph Kobald;Z;AUT;N;29;A;S;Mar;Res;0
Marcel Franke;Z;DEU;N;33;D;S;Ant;Res;0
Paul Scholl;Z;DEU;N;20;D;N;Pos;Vel;0
Sandro Trémoulet;Z;MDG;N;26;E;N;Cab;For;0
Danyal Zor;V;DEU;N;19;D;S;Mar;Agi;0
Hyeok-kyu Kwon;V;KOR;N;25;D;N;Ant;Vis;0
Santeri Väänänen;V;FIN;N;24;D;N;Ant;Con;0
Kevin Wiethaup;M;DEU;N;21;D;S;Pas;Agi;0
Lilian Egloff;M;DEU;N;24;D;N;Chu;Cri;0
Marvin Wanitzek;M;DEU;N;33;D;S;Pas;Fri;0
Noel Eichinger;M;DEU;N;25;D;S;Fin;Res;0
Tim Civeja;M;ALB;N;24;A;N;Arm;Res;0
Jason Ponente-Ramirez;P;ITA;N;19;E;N;Dri;Ace;0
Eymen Laghrissi;A;DEU;N;18;D;N;Fin;Vel;0
John Davis Meyer;A;DEU;N;17;E;N;Pas;Vel;0
Moritz Broschinski;A;DEU;N;25;D;S;Chu;Vel;0
Shio Fukuda;A;JPN;N;22;D;N;Dri;Vel;0
