Magdeburg;DEU;73;Avnet-Arena;Petrik Sander;DEU;0056B8;FFFFFF;30000
Dominik Reimann;G;DEU;N;29;D;S;Ref;Imp;0
Noah Kruth;G;DEU;N;23;D;N;Col;Fri;0
Robert Kampa;G;DEU;N;21;D;N;Ref;Fle;0
Tjark Möbius;G;DEU;N;18;A;N;Ref;Con;0
Alexander Nollenberger;L;DEU;N;29;D;S;Cru;Agi;0
Eldin Dzogovic;L;LUX;N;23;D;N;Pas;Vel;0
Herbert Bockhorn;L;UGA;N;31;D;N;Mar;Res;0
Lubambo Musonda;L;ZMB;N;31;A;N;Pos;Vel;0
Pierre Nadjombe;L;TGO;N;23;D;S;Cru;Vel;0
Anselmo García MacNulty;Z;IRL;N;23;E;S;Mar;For;0
Daniel Heber;Z;DEU;N;32;D;N;Mar;Res;0
Paul Jaeckel;Z;DEU;N;28;D;N;Mar;Con;0
Tarek Chahed;Z;DEU;N;30;A;N;Ant;For;0
Tobias Müller;Z;DEU;N;32;A;S;Mar;Imp;0
Falko Michel;V;DEU;N;25;D;S;Chu;Vis;0
Luka Hyryläinen;V;FIN;N;22;D;S;Chu;Agi;0
Tony Reitz;V;DEU;N;22;E;N;Pas;Vis;0
Felipe Chávez;M;PER;N;19;A;N;Dri;Agi;0
Leon Mergner;M;DEU;N;20;A;N;Pas;Vis;0
Moritz-Broni Kwarteng;M;DEU;N;28;A;S;Pas;Cri;0
Torben Müsel;M;DEU;N;27;D;N;Fin;Vis;0
Baris Atik;P;DEU;N;31;D;S;Fin;Vel;0
Chung-hyun Lee;P;KOR;N;18;D;N;Dri;Agi;0
Do-young Yoon;P;KOR;N;19;E;N;Dri;Vel;0
Emmanuel Iyoha;P;DEU;N;28;A;S;Dri;Ace;0
Magnus Baars;P;DEU;N;19;D;N;Dri;Ace;0
Kevin Manthey;A;DEU;N;19;D;N;Fin;Vel;0
Mateusz Zukowski;A;POL;N;24;D;S;Dri;Fri;0
Richmond Tachie;A;DEU;N;27;D;N;Dri;Vel;0
Roko Simic;A;HRV;N;22;D;N;Fin;Imp;0
