Osnabrück;DEU;72;Bremer Brücke;Timo Schultz;DEU;542982;FFFFFF;16000
Jonas Krumrey;G;DEU;N;22;D;S;Col;For;0
Luca Böggemann;G;DEU;N;22;D;N;Ref;Con;0
Niklas Sauter;G;DEU;N;23;D;N;Ref;Fri;0
Jonathan Gómez;L;USA;N;22;E;S;Cru;Vel;0
Konrad Faber;L;DEU;N;28;D;S;Des;Vel;0
Patrick Kammerbauer;L;DEU;N;29;D;S;Cru;Res;0
Jannik Müller;Z;DEU;N;32;D;S;Pos;Con;0
Joel Abu Hanna;Z;ISR;N;28;E;N;Des;Imp;0
Niklas Wiemann;Z;DEU;N;27;E;S;Cab;For;0
Robin Fabinski;Z;DEU;N;22;D;S;Cab;Imp;0
Theo Janotta;Z;DEU;N;22;D;N;Cab;Con;0
Bjarke Jacobsen;V;DNK;N;32;D;S;Des;Con;0
Fridolin Wagner;V;DEU;N;28;D;S;Des;Res;0
Adrian Beck;M;DEU;N;29;D;N;Chu;Res;0
Bryan Henning;M;DEU;N;31;D;N;Pas;Vis;0
Daniel-Kofi Kyereh;M;GHA;N;30;D;N;Pas;Cri;0
Ismail Badjie;M;DEU;N;20;D;S;Dri;Fri;0
Jonathan Wensing;M;DEU;N;22;D;N;Fin;Res;0
Leon Opitz;M;DEU;N;21;E;N;Pas;Agi;0
Leonhard Münst;M;DEU;N;24;D;N;Arm;Res;0
Tony Lesueur;M;FRA;N;25;E;N;Arm;Agi;0
Luca Raimund;P;DEU;N;21;E;N;Dri;Vel;0
Bernd Riesselmann;A;DEU;N;21;D;N;Fin;Imp;0
Robin Meißner;A;DEU;N;26;A;S;Fin;Vel;0
