Paderborn 07;DEU;82;Home Deluxe Arena;Ralf Kettemann;DEU;005CA9;000000;15000
Markus Schubert;G;DEU;N;28;D;S;Sgo;Fle;0
Nahuel Noll;G;DEU;N;23;A;N;Col;Con;0
Jano ter Horst;L;DEU;N;24;D;S;Pos;Agi;0
Niklas Mohr;L;DEU;N;22;E;N;Mar;Res;0
Felix Götze;Z;DEU;N;28;D;S;Mar;Res;0
Marcel Hoffmeier;Z;DEU;N;27;D;N;Ant;Res;0
Mattes Hansen;Z;DEU;N;22;D;S;Mar;Res;0
Nyamekye Awortwie-Grant;Z;DEU;N;26;D;N;Des;Vel;0
Tjark Scheller;Z;DEU;N;24;A;S;Pos;Con;0
Santiago Castañeda;V;USA;N;21;D;N;Des;Agi;0
Tom Baack;V;DEU;N;27;D;S;Ant;Agi;0
Clemens Lippmann;M;DEU;N;20;D;N;Pas;Res;0
Jonah Sticker;M;DEU;N;22;D;N;Fin;Agi;0
Laurin Ulrich;M;DEU;N;21;D;N;Fin;Vis;0
Luka Duric;M;BIH;N;23;D;N;Arm;Cri;0
Oliver Batista-Meier;M;DEU;N;25;D;S;Chu;Cri;0
Raphael Obermair;M;PHL;N;30;D;S;Dri;Agi;0
Sebastian Klaas;M;DEU;N;28;A;S;Fin;Vis;0
Timur Gayret;M;DEU;N;28;E;N;Pas;Vis;0
Albert Millgramm;P;DEU;N;21;A;N;Fin;Agi;0
Deniz Zeitler;P;DEU;N;19;A;N;Dri;Vel;0
Gabriel Vidovic;P;HRV;N;22;D;N;Fin;Res;0
Laurin Curda;P;DEU;N;24;D;S;Dri;Vel;0
Rayan Philippe;P;FRA;N;25;E;N;Cru;Vel;0
Ruben Müller;P;DEU;N;20;D;N;Cru;Vel;0
Sven Michel;P;DEU;N;36;E;N;Dri;Vel;0
Lasse Eickel;A;DEU;N;18;D;N;Pas;Vel;0
Marvin Pieringer;A;DEU;N;26;D;N;Chu;Fri;0
Stefano Marino;A;DEU;N;22;D;N;Cab;Imp;0
Steffen Tigges;A;DEU;N;28;E;S;Cab;Imp;0
