Preußen Münster;DEU;66;LVM-Preußenstadion;Thomas Wörle;DEU;000000;FFFFFF;14000
Matthis Harsman;G;DEU;N;26;D;N;Col;Con;0
Morten Behrens;G;DEU;N;29;D;S;Sgo;Fle;0
Paul Ervens;G;DEU;N;18;D;N;Rbo;Fle;0
Louis Kolbe;L;DEU;N;22;D;S;Des;Agi;0
Luca Bolay;L;DEU;N;24;E;N;Mar;Ace;0
Marvin Schulz;L;DEU;N;31;D;N;Cru;Vel;0
Niklas Varelmann;L;DEU;N;19;E;N;Cru;Vel;0
Antonio Tikvic;Z;HRV;N;22;E;S;Mar;For;0
Lucas Zeller;Z;DEU;N;26;A;S;Cab;For;0
Niko Koulis;Z;DEU;N;27;D;S;Cab;Vel;0
Simon Scherder;Z;DEU;N;33;A;N;Pos;For;0
Tim Dietrich;Z;DEU;N;23;E;N;Pos;Con;0
Torge Paetow;Z;DEU;N;31;A;N;Ant;Imp;0
Jakob Korte;V;DEU;N;23;D;N;Mar;Res;0
Rico Preißinger;V;DEU;N;30;A;S;Ant;Res;0
Wesley Adeh;V;DEU;N;19;A;S;Chu;For;0
Joshua Mees;M;DEU;N;30;A;N;Fin;Vis;0
Marvin Schulz;M;DEU;N;22;D;N;Pas;Agi;0
Mikail Demirhan;M;DEU;N;20;A;N;Dri;Agi;0
Ryan Johansson;M;LUX;N;25;D;S;Pas;Res;0
Samuel Althaus;M;DEU;N;20;D;N;Pas;Res;0
Charalambos Makridis;P;DEU;N;30;A;S;Dri;Cri;0
Leon Tasov;P;MKD;N;21;D;N;Dri;Ace;0
Mika Stuhlmacher;P;DEU;N;23;D;N;Cru;Vel;0
Montell Ndikom;P;DEU;N;21;E;S;Arm;Agi;0
Felix Higl;A;DEU;N;29;E;S;Cab;Imp;0
Malik Batmaz;A;DEU;N;26;D;N;Chu;Fri;0
Oscar Vilhelmsson;A;SWE;N;22;E;N;Fin;For;0
