Rot-Weiss Essen;DEU;65;Stadion an der Hafenstraße;Uwe Koschinat;DEU;FFFFFF;DF0003;19500
Felix Wienand;G;DEU;N;24;D;N;Ref;Fri;0
Jakob Golz;G;DEU;N;27;A;S;Ref;Con;0
Romero Gerres;G;DEU;N;18;D;N;Ref;Con;0
Ekin Celebi;L;DEU;N;26;E;N;Cru;Res;0
Franci Bouebari;L;FRA;N;22;A;S;Cru;Vel;0
Jannik Hofmann;L;DEU;N;24;D;S;Cru;For;0
Michael Kostka;L;POL;N;22;D;N;Pas;Agi;0
Ben Hüning;Z;DEU;N;21;D;S;Mar;For;0
James Gnagnon;Z;DEU;N;18;D;N;Cab;Con;0
José Enrique Ríos Alonso;Z;DEU;N;26;D;N;Des;Res;0
Luca Bazzoli;Z;DEU;N;25;A;N;Mar;Imp;0
Max Geschwill;Z;DEU;N;25;E;S;Des;Res;0
Janne Sietan;V;DEU;N;24;D;S;Ant;Con;0
Ruben Reisig;V;DEU;N;30;A;N;Des;For;0
Tony Menzel;M;DEU;N;21;D;S;Pas;Agi;0
Aiman Dardari;P;LUX;N;21;A;N;Dri;Agi;0
Dickson Abiama;P;NGA;N;27;D;S;Fin;Vel;0
Lucas Brumme;P;DEU;N;26;E;S;Cru;Res;0
Marvin Obuz;P;DEU;N;24;D;N;Cru;Agi;0
Nick Bätzner;P;DEU;N;26;D;N;Cru;Vel;0
Noah Pesch;P;HRV;N;21;D;N;Dri;Ace;0
Jaka Cuber Potocnik;A;SVN;N;21;D;N;Fin;Vel;0
Marek Janssen;A;DEU;N;29;A;S;Fin;Fri;0
Semir Telalovic;A;DEU;N;26;D;S;Cab;Fri;0
