St. Pauli;DEU;74;Millerntor-Stadion;Marcel Rapp;DEU;8B4513;FFFFFF;29500
Ben Voll;G;DEU;N;25;A;S;Ref;Fle;0
Dimitar Mitov;G;BGR;N;29;D;N;Ref;Fri;0
Simon Spari;G;AUT;N;24;D;N;Ref;For;0
Arkadiusz Pyrka;L;POL;N;23;D;S;Pos;Ace;0
Lars Ritzka;L;DEU;N;28;E;S;Pos;Ace;0
Louis Oppie;L;DEU;N;24;E;S;Cru;Vel;0
Rony Jansson;L;FIN;N;22;D;N;Pos;Vel;0
Adam Dzwigala;Z;POL;N;30;D;S;Des;Vel;0
David Nemeth;Z;AUT;N;25;A;N;Des;Vel;0
Eric Smith;Z;SWE;N;29;D;S;Des;Vel;0
Marcus Mathisen;Z;DNK;N;30;D;N;Pos;Vel;0
Tomoya Ando;Z;JPN;N;27;D;S;Des;Res;0
Gísli Thórdarson;V;ISL;N;21;D;N;Pas;Vis;0
Marwin Schmitz;V;DEU;N;19;D;N;Chu;Res;0
Connor Metcalfe;M;AUS;N;26;E;N;Arm;Fri;0
Erik Ahlstrand;M;SWE;N;24;E;N;Pas;Res;0
Joel Chima Fujita;M;JPN;N;24;D;S;Pas;Fri;0
Mathias Rasmussen;M;NOR;N;28;E;S;Pas;Agi;0
Nick Schmidt;M;JPN;N;18;D;N;Pas;Res;0
Sam Klein;M;AUS;N;22;D;N;Pas;Agi;0
Mathias Pereira Lage;P;PRT;N;29;D;S;Pas;Ace;0
Scott Banks;P;SCT;N;24;E;N;Dri;Ace;0
Youssoupha Niang;P;DEU;N;20;D;N;Cru;Agi;0
Abdoulie Ceesay;A;GMB;N;22;D;N;Chu;Vel;0
Branimir Hrgota;A;SWE;N;33;E;N;Dri;Fri;0
Martijn Kaars;A;NLD;N;27;D;S;Fin;For;0
Ricky-Jade Jones;A;ENG;N;23;D;N;Cab;Vel;0
Taichi Hara;A;JPN;N;27;D;N;Cab;Imp;0
Wissou Kaba;A;DEU;N;18;D;N;Pas;Vel;0
