Stuttgart;DEU;89;MHPArena Stuttgart;Sebastian Hoeneß;DEU;FFFFFF;FF0000;60000
Fabian Bredlow;G;DEU;N;31;A;S;Ref;Con;0
Marius Funk;G;DEU;N;30;D;N;Ref;Imp;0
Stefan Drljaca;G;DEU;N;27;D;N;Sgo;Fle;0
Josha Vagnoman;L;DEU;N;25;D;S;Cru;Res;0
Lorenz Assignon;L;FRA;N;26;D;N;Pas;Agi;0
Mittelstädt;L;DEU;N;29;E;S;Cru;For;0
Ameen Al-Dakhil;Z;BEL;N;24;D;N;Pos;Vel;0
Dan-Axel Zagadou;Z;FRA;N;27;E;N;Mar;For;0
Finn Jeltsch;Z;DEU;N;19;D;S;Ant;Imp;0
Jeff Chabot;Z;DEU;N;28;E;S;Ant;Con;0
Luca Jaquez;Z;CHE;N;23;D;N;Mar;Res;0
Ramon Hendriks;Z;NLD;N;24;E;S;Ant;Con;0
Angelo Stiller;V;DEU;S;25;E;S;Chu;Con;4
Atakan Karazor;V;TUR;N;29;D;S;Pas;Con;0
Chema Andrés;V;ESP;N;21;D;N;Ant;Agi;0
Mirza Catovic;V;SRB;N;19;E;N;Pas;Res;0
El Khannouss;M;MAR;N;22;D;S;Pas;Vis;5
Grischa Prömel;M;DEU;N;31;D;N;Chu;Fri;0
Nikolas Nartey;M;DNK;N;26;E;N;Pas;Fri;0
Badredine Bouanani;P;DZA;N;21;E;N;Pas;Cri;0
Chris Führich;P;DEU;N;28;D;N;Cru;Vel;0
Jamie Leweling;P;DEU;N;25;A;S;Dri;Vel;0
Justin Diehl;P;DEU;N;21;D;N;Dri;Vel;0
Leo Sauer;P;SVK;N;20;D;N;Dri;Vel;0
Tiago Tomás;P;PRT;N;24;D;N;Fin;Vel;0
Deniz Undav;A;DEU;N;29;A;S;Fin;Imp;6
Dzenan Pejcinovic;A;DEU;N;21;E;N;Fin;Fri;0
Ermedin Demirovic;A;BIH;N;28;D;N;Fin;Imp;0
Jeremy Arévalo;A;ECU;N;21;E;N;Dri;Vel;0
Tim van der Leij;A;NLD;N;20;D;N;Fin;For;0
