Union Berlin;DEU;84;An der Alten Försterei;Mauro Lustrinelli;CHE;E40019;FFFFFF;22000
Carl Klaus;G;DEU;N;32;D;N;Col;Imp;0
Frederik Rönnow;G;DNK;N;34;D;N;Sgo;Fle;0
Matheo Raab;G;DEU;N;27;D;S;Sgo;Imp;0
Andrik Markgraf;L;DEU;N;20;E;N;Pas;Vel;0
Christopher Trimmel;L;AUT;N;39;D;N;Pas;Agi;0
Derrick Köhn;L;GHA;N;27;E;N;Mar;Agi;0
Josip Juranovic;L;HRV;N;31;D;S;Mar;Vel;0
Tom Rothe;L;DEU;N;21;E;S;Pos;Ace;0
Felix Uduokhai;Z;DEU;N;28;E;N;Mar;Con;0
Leopold Querfeld;Z;AUT;N;22;D;S;Mar;Con;0
Marvin Friedrich;Z;DEU;N;30;D;N;Ant;For;0
Stanley Nsoki;Z;FRA;N;27;E;N;Cab;Imp;0
Zeno Van Den Bosch;Z;BEL;N;23;D;S;Mar;For;0
Aljoscha Kemlein;V;DEU;N;22;D;S;Ant;For;0
Rani Khedira;V;DEU;N;32;D;S;Mar;Vis;0
András Schäfer;M;HUN;N;27;D;N;Pas;Fri;0
Janik Haberer;M;DEU;N;32;D;N;Arm;Cri;0
Kastriot Imeri;M;CHE;N;26;D;N;Arm;Cri;0
Michel Aebischer;M;CHE;N;29;D;N;Pas;Vis;0
Woo-yeong Jeong;M;KOR;N;26;D;S;Pas;Agi;0
Julien Friedrich;P;DEU;N;19;E;N;Dri;Agi;0
Linus Güther;P;DEU;N;16;D;N;Arm;Cri;0
Livan Burcu;P;TUR;N;21;D;S;Dri;Agi;0
Robert Skov;P;DNK;N;30;E;N;Fin;Vel;0
Andrej Ilic;A;SRB;N;26;D;N;Fin;For;0
Emmanuel Latte Lath;A;CIV;N;27;D;S;Fin;Vel;0
Marin Ljubicic;A;HRV;N;24;D;S;Chu;Fri;0
Mekhi Gray;A;JAM;N;19;D;N;Fin;For;0
Oliver Burke;A;SCT;N;29;D;N;Cab;Imp;0
Tim Skarke;A;DEU;N;29;D;N;Fin;Fri;0
