Werder Bremen;DEU;83;Weserstadion;Daniel Thioune;DEU;00924A;FFFFFF;42000
Karl Hein;G;EST;N;24;D;S;Sgo;Con;0
Markus Kolke;G;DEU;N;35;D;N;Rbo;Fle;0
Arthur;L;BRA;N;23;D;N;Pas;Ace;0
Felix Agu;L;NGA;N;26;D;N;Mar;Vel;0
Luca Höcker;L;DEU;N;19;D;N;Mar;Agi;0
Mitchell Weiser;L;DEU;N;32;D;S;Cru;Res;0
Moussa Ndiaye;L;SEN;N;23;E;S;Pas;Vel;0
Olivier Deman;L;BEL;N;26;E;N;Pas;Vel;0
Amos Pieper;Z;DEU;N;28;D;N;Ant;Res;0
Julián Malatini;Z;ARG;N;25;D;N;Des;Con;0
Marco Friedl;Z;AUT;N;28;E;S;Pos;Res;0
Mats Heitmann;Z;DEU;N;20;D;N;Mar;For;0
Niklas Stark;Z;DEU;N;31;D;N;Ant;Res;0
Oskar Wójcik;Z;POL;N;22;D;N;Des;Vel;0
Dariusz Stalmach;V;POL;N;20;D;N;Pas;Res;0
Senne Lynen;V;BEL;N;27;D;S;Ant;Res;0
Youri Regeer;V;NLD;N;22;D;N;Chu;Vis;0
Chuki;M;ESP;N;22;E;S;Arm;Cri;0
Darwin Soylu;M;TUR;N;19;E;N;Arm;Cri;0
Jens Stage;M;DNK;N;29;D;S;Fin;Fri;0
Ludovit Reis;M;NLD;N;26;D;N;Dri;Agi;0
Eren Dinkçi;P;TUR;N;24;D;N;Arm;Res;0
Justin Njinmah;P;DEU;N;25;D;S;Cru;Res;0
Marco Grüll;P;AUT;N;28;A;S;Cru;Vel;0
Paul Erevbenagie;P;DEU;N;18;D;N;Fin;Agi;0
Cedric Itten;A;CHE;N;29;D;S;Cab;Imp;0
Keke Topp;A;DEU;N;22;D;N;Fin;Res;0
Kenny Quetant;A;FRA;N;20;D;N;Pas;Fri;0
Niclas Füllkrug;A;DEU;N;33;D;S;Cab;For;0
Salim Musah;A;DEU;N;20;D;N;Chu;Fri;0
