Wolfsburg;DEU;75;Volkswagen Arena;Tobias Strobl;DEU;00CC00;FFFFFF;28500
Jakub Zielinski;G;POL;N;18;D;N;Ref;Con;0
Pavao Pervan;G;AUT;N;38;A;S;Ref;Con;0
Timon Wellenreuther;G;DEU;N;30;D;N;Ref;For;0
Aaron Zehnter;L;DEU;N;21;E;S;Mar;Res;0
Joakim Maehle;L;DNK;N;29;D;N;Cru;Vel;0
Kilian Fischer;L;DEU;N;25;A;N;Cru;Agi;0
Rogério;L;BRA;N;28;E;N;Mar;Res;0
Saël Kumbedi;L;FRA;N;21;D;N;Mar;Agi;0
Cleiton;Z;BRA;N;23;E;N;Cab;For;0
Hauke Wahl;Z;DEU;N;32;D;S;Mar;Res;0
Jonas Adjetey;Z;GHA;N;22;D;N;Cab;Vel;0
Moritz Jenz;Z;DEU;N;27;D;S;Ant;For;0
Vini Souza;V;BRA;N;27;D;S;Des;Con;0
Aster Vranckx;M;BEL;N;23;D;N;Pas;Agi;0
Bence Dárdai;M;HUN;N;20;D;N;Pas;Vis;0
Christian Eriksen;M;DNK;N;34;D;S;Chu;Vis;0
Elvis Rexhbecaj;M;XKX;N;28;E;N;Pas;Cri;0
Mattias Svanberg;M;SWE;N;27;D;N;Pas;Vis;0
Maximilian Arnold;M;DEU;N;32;E;S;Pas;Cri;0
Muhammed Damar;M;DEU;N;22;A;N;Chu;Fri;0
Pharell Hensel;M;DEU;N;19;D;N;Dri;Vis;0
Yannick Gerhardt;M;DEU;N;32;E;S;Arm;Vis;0
Bernhardsson;P;SWE;N;27;E;N;Pas;Res;0
Bruno Katz;P;FIN;N;18;D;N;Fin;Cri;0
Fabian Reese;P;DEU;N;28;D;S;Cru;Vel;0
Trevor Benedict;P;DEU;N;19;D;N;Fin;Cri;0
Alessio Besio;A;CHE;N;22;D;N;Fin;Res;0
Fraser Hornby;A;SCT;N;26;D;S;Fin;For;0
Kento Shiogai;A;JPN;N;21;D;N;Dri;Fri;0
Robert Glatzel;A;DEU;N;32;A;S;Chu;Fri;0
